State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
WEST BENGAL,Hugli,3149.0,1287423,5519145,2814653,2704492,4078388,2211777,625665,1440757,602876,837881,2152870,1713608,439262,3366275,1101045,2265230,229243,1344021,4574569,870204,2662,1730,2160,49050,11470,1640038,992085,647953,31725,14.93%
ANDHRA PRADESH,Hyderabad,217.0,849051,3943323,2018575,1924748,2892155,1542688,396263,1051168,475887,575281,1413297,1045585,367712,2530026,972990,1557036,48937,247927,2046051,1713405,11446,1268,19560,1929,62142,1066289,0,1066289,149034,4.21%
KERALA,Idukki,4356.0,279812,1108974,552808,556166,923010,471881,370353,185964,80927,105037,516363,331710,184653,592611,221098,371513,55815,145486,541854,82206,100,189,44,384,2690,412433,391610,20823,8250,1.65%
MANIPUR,Imphal East,709.0,92124,456113,226094,230019,324664,173314,738049,131449,52780,78669,194848,117562,77286,261265,108532,152733,27657,15839,274906,80199,181,639,62,70825,1940,110941,64421,46520,2739,12.87%
MANIPUR,Imphal West,519.0,111156,517992,255054,262938,392626,205985,597269,125366,49069,76297,213387,128540,84847,304605,126514,178091,24161,16530,387497,24298,589,1891,1264,77032,2044,136801,51055,85746,4913,7.27%
MADHYA PRADESH,Indore,3898.0,649540,3276697,1699627,1577070,2309130,1289631,928810,967567,409996,557571,1268195,939055,329140,2008502,760572,1247930,217679,545239,2728225,415142,25696,11496,71667,720,5228,788318,200371,587947,48691,10.76%
MADHYA PRADESH,Jabalpur,5211.0,539060,2463289,1277278,1186011,1756468,980307,431538,706821,296971,409850,1005624,705970,299654,1457665,571308,886357,375231,348029,2159065,203652,13256,4320,33728,21010,5116,624761,272284,352477,20443,19.50%
ORISSA,Jagatsinghapur,1668.0,261307,1136971,577865,559106,889027,481049,324203,247944,96816,151128,403649,325589,78060,733322,252276,481046,7862,248152,1086140,46929,206,74,58,63,1897,352732,309685,43047,3199,11.83%
MEGHALAYA,Jaintia Hills,3819.0,66028,395124,196285,198839,187527,87371,244469,207597,108914,98683,154180,88839,65341,240944,107446,133498,376099,1317,12456,1646,34,284,45,107559,1504,83717,76546,7171,510,46.07%
RAJASTHAN,Jaipur,11143.0,1177096,6626178,3468507,3157671,4300965,2554793,151072,2325213,913714,1411499,2464893,1714947,749946,4161285,1753560,2407725,527966,1003302,5819980,687452,18782,1020,81079,257,4900,1732679,754841,977838,76565,15.07%
RAJASTHAN,Jaisalmer,38401.0,117171,669919,361708,308211,308653,210415,11871,361266,151293,209973,288903,182565,106338,381016,179143,201873,42429,99134,497045,168129,1723,98,1521,34,495,189947,159117,30830,754,50.07%
ORISSA,Jajapur,2899.0,407851,1827192,926034,901158,1290455,706396,41444,536737,219638,317099,552234,486091,66143,1274958,439943,835015,151432,433387,1725595,93642,470,58,100,3073,2631,541139,495611,45528,3831,20.75%
PUNJAB,Jalandhar,2624.0,461635,2193590,1145211,1048379,1622537,882581,47384,571053,262630,308423,774472,639484,134988,1419118,505727,913391,0,854444,1394329,30233,718363,11385,4011,805,8448,708130,330339,377791,39082,3.26%
UTTAR PRADESH,Jalaun,4565.0,288338,1689974,906092,783882,1075196,653430,92984,614778,252662,362116,620764,470969,149795,1069210,435123,634087,832,468178,1509708,171581,463,2875,256,145,3798,396421,304856,91565,2217,27.64%
MAHARASHTRA,Jalgaon,11765.0,903643,4229917,2197365,2032552,2891882,1629223,8353,1338035,568142,769893,1863571,1186472,677099,2366346,1010893,1355453,604367,389273,3457615,560261,3091,143865,27404,9662,20928,1169788,796223,373565,14297,18.60%
MAHARASHTRA,Jalna,7718.0,391701,1959046,1011473,947573,1195523,699428,18926,763523,312045,451478,930886,545030,385856,1028160,466443,561717,42263,272266,1504641,274221,1629,152540,9619,336,3518,502830,404746,98084,3791,28.65%
RAJASTHAN,Jalor,10640.0,326134,1828730,936634,892096,829582,543923,16850,999148,392711,606437,896644,494906,401738,932086,441728,490358,178719,357196,1732852,78990,231,144,14640,82,1061,467418,419216,48202,1585,40.41%
WEST BENGAL,Jalpaiguri,6227.0,868326,3872846,1983064,1889782,2498780,1396622,55254,1374066,586442,787624,1512910,1091361,421549,2359936,891703,1468233,731704,1458278,3156781,445817,2994,50676,1461,23816,5022,1117804,798378,319426,9322,21.83%
JAMMU AND KASHMIR,Jammu,2342.0,314199,1529958,813821,716137,1137135,641916,20471,392823,171905,220918,508622,417456,91166,1021336,396365,624971,69193,377991,1289240,107489,114272,470,1987,321,4075,502609,254566,248043,19905,6.97%
GUJARAT,Jamnagar,14184.0,430941,2160119,1114192,1045927,1396534,795140,27969,763585,319052,444533,847440,646822,200618,1312679,467370,845309,24187,173895,1810443,320805,1873,1086,18856,136,2528,646325,347158,299167,11573,13.05%
JHARKHAND,Jamtara,1811.0,155275,791042,404830,386212,426312,258260,28366,364730,146570,218160,326631,214740,111891,464411,190090,274321,240489,72885,550560,164406,520,118,783,68564,1672,185668,165555,20113,808,50.62%
BIHAR,Jamui,3098.0,307082,1760405,916064,844341,858588,534385,7472,901817,381679,520138,727571,452288,275283,1032834,463776,569058,78793,302649,1525746,217621,162,159,87,3438,4749,356760,325909,30851,1839,64.01%
CHHATTISGARH,Janjgir - Champa,3853.0,364532,1619707,815717,803990,1019634,593679,29147,600073,222038,378035,846466,478278,368188,773241,337439,435802,187196,397908,1597089,14173,635,556,707,2220,1401,440773,379583,61190,1706,23.16%
CHHATTISGARH,Jashpur,5838.0,192570,851669,424747,426922,495415,280656,18661,356254,144091,212163,487360,263645,223715,364309,161102,203207,530378,48844,629509,15336,474,467,694,14835,766,226392,205670,20722,567,45.85%
UTTAR PRADESH,Jaunpur,4038.0,663513,4494204,2220465,2273739,2731677,1565394,24587,1762527,655071,1107456,1437375,934157,503218,3056829,1286308,1770521,4736,990345,3981502,483750,1286,7898,349,114,14358,1006670,926088,80582,8002,40.78%
BIHAR,Jehanabad,931.0,181740,1125313,585582,539731,618881,374412,16348,506432,211170,295262,365378,266423,98955,759935,319159,440776,1285,222974,1045117,75742,148,248,60,58,3249,214792,186660,28132,1106,45.41%
MADHYA PRADESH,Jhabua,3600.0,194157,1025048,515023,510025,352081,214582,1822,672967,300441,372526,515121,265489,249632,509927,249534,260393,891818,17427,960925,15733,141,65,8871,388,502,235793,211080,24713,744,68.86%
HARYANA,Jhajjar,1834.0,185334,958405,514667,443738,676091,399480,13762,282314,115187,167127,326534,250020,76514,631871,264647,367224,0,170448,945693,8247,1042,105,645,22,1917,290144,211816,78328,5034,5.82%
RAJASTHAN,Jhalawar,6219.0,283295,1411129,725143,685986,739792,466815,34682,671337,258328,413009,685950,402825,283125,725179,322318,402861,182229,243582,1299751,96164,819,46,12488,42,977,362387,298624,63763,1750,32.74%
UTTAR PRADESH,Jhansi,5024.0,367779,1998603,1057436,941167,1304513,783705,3467,694090,273731,420359,814914,565357,249557,1183689,492079,691610,3873,562505,1823930,147842,4951,1203,7328,311,5988,504913,309592,195321,8517,20.17%
ORISSA,Jharsuguda,2114.0,136061,579505,296690,282815,405879,228092,52194,173626,68598,105028,247707,172018,75689,331798,124672,207126,176758,104620,553587,12783,1441,80,70,67,1015,177186,103224,73962,2498,18.41%
RAJASTHAN,Jhunjhunun,5928.0,384197,2137045,1095896,1041149,1370360,815834,76015,766685,280062,486623,894649,541392,353257,1242396,554504,687892,41629,360709,1905682,228178,275,56,548,85,1217,650809,500452,150357,4828,12.76%
HARYANA,Jind,2702.0,249736,1334152,713006,621146,832758,502049,49377,501394,210957,290437,523422,368277,155145,810730,344729,466001,0,282351,1276669,23016,29103,172,2594,56,1653,368000,278335,89665,5263,9.16%
RAJASTHAN,Jodhpur,22850.0,649013,3687165,1923928,1763237,2031532,1265753,60823,1655633,658175,997458,1489741,965103,524638,2197424,958825,1238599,118924,608024,3224399,411558,4123,514,36697,80,3759,891657,584215,307442,19335,26.77%
ASSAM,Jorhat,2851.0,236262,1092256,556805,535451,794929,432335,127895,297327,124470,172857,498618,320746,177872,593638,236059,357579,139971,88665,1008219,54684,1540,2378,719,578,3087,367154,286330,80824,5651,20.24%
GUJARAT,Junagadh,8831.0,527326,2743082,1404356,1338726,1842818,1046981,47967,900264,357375,542889,1123709,801859,321850,1619373,602497,1016876,55571,265793,2397056,334858,1110,1291,3841,77,2263,776743,489237,287506,6628,10.08%
UTTAR PRADESH,Jyotiba Phule Nagar,2249.0,314401,1840221,963449,876772,983110,600541,53858,857111,362908,494203,599089,459037,140052,1241132,504412,736720,164,318001,1075440,750368,5295,189,517,21,2439,451374,335888,115486,2825,34.84%
CHHATTISGARH,Kabeerdham,4235.0,178446,822526,412058,410468,414167,248503,13720,408359,163555,244804,404156,217073,187083,418370,194985,223385,167043,119798,776013,12206,924,433,1167,30222,581,211179,187311,23868,682,39.56%
GUJARAT,Kachchh,45674.0,445672,2092371,1096737,995634,1252319,739239,18557,840052,357498,482554,776228,624704,151524,1316143,472033,844110,24228,258859,1608921,442355,6353,490,25312,98,2650,739275,488293,250982,9631,28.30%
BIHAR,Kaimur (Bhabua),3332.0,250884,1626384,847006,779378,920276,549923,90451,706108,297083,409025,511163,375959,135204,1115221,471047,644174,57981,369088,1456229,155283,296,7707,129,1534,3799,340442,325143,15299,2100,44.48%
HARYANA,Kaithal,2317.0,204274,1074304,571003,503301,646529,385782,27620,427775,185221,242554,373899,292696,81203,700405,278307,422098,0,247513,974520,8232,87558,265,351,70,1539,306787,231091,75696,3724,7.83%
ORISSA,Kalahandi,7920.0,401251,1576869,787101,789768,802036,484177,116465,774833,302924,471909,751930,447290,304640,824939,339811,485128,449456,286580,1555367,4975,796,175,1225,220,2951,494748,456336,38412,1953,47.28%
ASSAM,Kamrup,3105.0,311114,1517542,778461,739081,995319,550219,37603,522223,228242,293981,628954,428492,200462,888588,349969,538619,182038,107827,877495,601784,319,185,1330,55,3077,434445,390596,43849,3109,26.22%
ASSAM,Kamrup Metropolitan,955.0,293112,1253938,647585,606353,1001191,537227,91922,252747,110358,142389,490932,375613,115319,763006,271972,491034,75121,101789,1064412,151071,3679,1627,9250,170,4919,428192,61334,366858,29117,10.93%
TAMIL NADU,Kancheepuram,4483.0,1006245,3998252,2012958,1985294,3013382,1611461,69020,984870,401497,583373,1673814,1181308,492506,2324438,831650,1492788,41210,948081,3537399,173785,1620,990,4962,756,21978,1213504,438799,774705,100322,2.97%
ORISSA,Kandhamal,8021.0,172022,733110,359945,373165,399786,233900,116687,333324,126045,207279,355349,193515,161834,377761,166430,211331,392820,115544,580300,2138,82,290,47,23,1335,242935,218446,24489,768,44.75%
HIMACHAL PRADESH,Kangra,5739.0,338887,1510075,750591,759484,1152640,606443,186641,357435,144148,213287,675170,403756,271414,834905,346835,488070,84564,319385,1461140,19797,8929,14511,194,208,2273,627328,588321,39007,8053,5.88%
UTTAR PRADESH,Kannauj,2093.0,280928,1656616,881776,774840,1017087,603596,151350,639529,278180,361349,524676,430934,93742,1131940,450842,681098,15,309980,1375788,273967,504,2033,606,65,2390,365770,299785,65985,2488,43.50%
TAMIL NADU,Kanniyakumari,1684.0,483539,1870374,926345,944029,1548738,780541,59681,321636,145804,175832,679620,524629,154991,1190754,401716,789038,7282,74249,909872,78590,160,438,156,10,4849,598041,104253,493788,15673,1.52%
KERALA,Kannur,2961.0,554298,2523003,1181446,1341557,2138434,1012956,39249,384569,168490,216079,824116,609377,214739,1698887,572069,1126818,41371,83350,1509592,742483,424,1118,193,722,5945,872479,306288,566191,32653,0.44%
UTTAR PRADESH,Kanpur Dehat,3021.0,329817,1796184,963255,832929,1170243,692964,27214,625941,270291,355650,628864,493991,134873,1167320,469264,698056,801,460544,1612968,176327,478,819,155,103,4034,405256,363933,41323,2682,37.98%
UTTAR PRADESH,Kanpur Nagar,3155.0,863338,4581268,2459806,2121462,3243022,1829179,31748,1338246,630627,707619,1572232,1299871,272361,3009036,1159935,1849101,3753,816754,3792174,720660,29676,2733,5710,589,13975,1049775,364869,684906,33966,14.32%
UTTAR PRADESH,Kanshiram Nagar,1955.0,237903,1436719,764165,672554,724850,452803,171048,711869,311362,400507,472765,375213,97552,963954,388952,575002,150,254299,1211427,213822,2280,3907,313,72,2929,343724,271234,72490,1623,47.81%
PUNJAB,Kapurthala,1633.0,167989,815168,426311,388857,576567,316254,49362,238601,110057,128544,284165,235562,48603,531003,190749,340254,0,276707,336124,10190,453692,6662,553,334,2168,261203,165433,95770,9732,5.08%
PONDICHERRY,Karaikal,157.0,49705,200222,97809,102413,154916,79903,26878,45306,17906,27400,68301,53139,15162,131921,44670,87251,0,35348,152638,28835,46,63,54,14,181,69333,35618,33715,1868,3.13%
RAJASTHAN,Karauli,5524.0,262503,1458248,783639,674609,805849,531904,56607,652399,251735,400664,628726,371058,257668,829522,412581,416941,324960,354465,1370977,81553,297,70,3424,413,912,364355,305047,59308,1059,39.90%
ASSAM,Karbi Anglong,10434.0,177646,956313,490167,466146,557214,314253,26417,399099,175914,223185,383441,246193,137248,572872,243974,328898,538738,44961,766000,20290,370,6260,397,3568,1639,252876,215691,37185,1923,37.59%
JAMMU AND KASHMIR,Kargil,14036.0,18338,140802,77785,63017,86236,56301,20372,54566,21484,33082,51873,39839,12034,88929,37946,50983,122336,18,10341,108239,1171,20126,28,4,289,48144,40370,7774,235,19.29%
ASSAM,Karimganj,1809.0,247714,1228686,625864,602822,795297,435942,638356,433389,189922,243467,399171,319798,79373,829515,306066,523449,1940,157890,521962,692489,114,446,524,110,1051,294640,261945,32695,1933,46.02%
ANDHRA PRADESH,Karimnagar,11823.0,976022,3776269,1880800,1895469,2206829,1257238,295728,1569440,623562,945878,1876768,1049463,827305,1899501,831337,1068164,106745,709757,3491139,244723,2086,332,312,115,12583,1165280,877236,288044,8831,8.65%
HARYANA,Karnal,2520.0,292084,1505324,797712,707612,978013,564516,124574,527311,233196,294115,516062,411646,104416,989262,386066,603196,0,339604,1341002,31650,126207,532,1516,49,2319,428602,292682,135920,11163,6.40%
TAMIL NADU,Karur,2904.0,287095,1064493,528184,536309,727044,401726,244756,337449,126458,210991,543298,329034,214264,521195,199150,322045,575,221385,993666,53292,115,29,7,79,822,364661,212241,152420,4915,4.40%
KERALA,Kasaragod,1989.0,273410,1307375,628613,678762,1037492,516476,165264,269883,112137,157746,462998,325095,137903,844377,303518,540859,48857,53283,729987,486913,151,362,130,152,2226,417805,251641,166164,10378,0.94%
JAMMU AND KASHMIR,Kathua,2502.0,119583,616435,326109,290326,389204,228499,89634,227231,97610,129621,200431,161548,38883,416004,164561,251443,53307,141224,540063,64234,9551,24,16,2,717,214847,181374,33473,1443,13.08%
BIHAR,Katihar,3057.0,619076,3071029,1600430,1470599,1280190,762256,37059,1790839,838174,952665,1013566,760522,253044,2057463,839908,1217555,179971,263100,1684589,1365645,2754,212,507,2141,6522,738070,668232,69838,2941,62.38%
MADHYA PRADESH,Katni,4950.0,289551,1292042,662013,630029,790773,460583,113371,501269,201430,299839,543874,348410,195464,748168,313603,434565,317699,155717,1240650,37232,1167,157,5342,2643,1693,349031,276151,72880,2179,39.94%
UTTAR PRADESH,Kaushambi,1779.0,277851,1599596,838485,761111,813424,507279,74882,786172,331206,454966,639086,402644,236442,960510,435841,524669,193,555397,1372381,220423,522,687,545,3,2810,380620,349856,30764,1503,56.06%
ORISSA,Kendrapara,2644.0,321934,1440361,717814,722547,1089265,579970,290760,351096,137844,213252,466890,386382,80508,973471,331432,642039,9484,309780,1386792,50247,169,62,52,24,1592,438243,414749,23494,1628,21.82%
ORISSA,Kendujhar,8303.0,405272,1801733,906487,895246,1052518,605119,100156,749215,301368,447847,766514,498077,268437,1035219,408410,626809,818878,209357,1752694,27752,2177,209,131,7372,2257,574298,490634,83664,2622,41.69%
BIHAR,Khagaria,1486.0,328823,1666886,883786,783100,768028,461153,214085,898858,422633,476225,560805,398216,162589,1106081,485570,620511,675,247161,1486989,175588,143,79,86,115,2633,394703,373696,21007,1580,58.23%
ANDHRA PRADESH,Khammam,16029.0,754034,2797370,1390988,1406382,1630234,901640,410790,1167136,489348,677788,1410062,802906,607156,1387308,588082,799226,765565,462896,2595321,158887,655,217,459,539,7829,870625,669262,201363,8628,13.75%
MADHYA PRADESH,Khandwa (East Nimar),7352.0,266655,1310061,674329,635732,731615,432259,259275,578446,242070,336376,612976,369676,243300,697085,304653,392432,459122,156601,1182330,116277,1726,1425,3856,158,1489,329088,265663,63425,1907,42.53%
MADHYA PRADESH,Khargone (West Nimar),8025.0,367988,1873046,953121,919925,986234,575428,398020,886812,377693,509119,894119,518254,375865,978927,434867,544060,730169,209091,1725441,135085,2896,284,6028,89,1148,460163,383543,76620,2162,35.80%
GUJARAT,Kheda,3953.0,466856,2299885,1185727,1114158,1660243,942480,250204,639642,243247,396395,933983,674586,259397,1365902,511141,854761,40336,115631,2000884,264482,1403,300,3479,82,2626,622026,461479,160547,5710,25.50%
UTTAR PRADESH,Kheri,7680.0,745077,4021243,2123187,1898056,2034044,1237157,788866,1987199,886030,1101169,1264718,1058483,206235,2756525,1064704,1691821,53375,1061782,3078262,807600,94388,18454,487,226,14324,862610,754938,107672,3402,59.95%
ORISSA,Khordha,2813.0,494212,2251673,1167137,1084536,1749936,957515,488047,501737,209622,292115,792193,645880,146313,1459480,521257,938223,115051,297472,2147632,84060,1264,475,476,434,4805,688729,331834,356895,35701,15.50%
JHARKHAND,Khunti,2535.0,103700,531885,266335,265550,284575,164741,307934,247310,101594,145716,259984,141123,118861,271901,125212,146689,389626,24037,138863,13122,69,245,148,241292,1708,135719,123245,12474,417,48.65%
HIMACHAL PRADESH,Kinnaur,6401.0,19976,84121,46249,37872,60699,36697,185267,23422,9552,13870,56273,33863,22410,27848,12386,15462,48746,14750,64732,448,249,18086,29,45,47,44514,44514,0,354,5.10%
NAGALAND,Kiphire,1130.0,14771,74004,37830,36174,41232,22675,344873,32772,15155,17617,31959,16780,15179,42045,21050,20995,71429,0,1040,564,13,210,1,1,372,20322,16032,4290,47,37.33%
BIHAR,Kishanganj,1884.0,338445,1690400,866970,823430,745056,439921,393170,945344,427049,518295,529064,421192,107872,1161336,445778,715558,64224,113118,531236,1149095,398,183,1476,28,2201,445150,401793,43357,1093,64.75%
JAMMU AND KASHMIR,Kishtwar,1644.0,45209,230696,120165,110531,107506,68700,368738,123190,51465,71725,82974,56779,26195,147722,63386,84336,38149,14307,93931,133225,450,2094,3,514,202,78371,72378,5993,274,24.29%
WEST BENGAL,Koch Bihar,3387.0,665720,2819086,1451542,1367544,1850504,1028733,362594,968582,422809,545773,1127977,845308,282669,1691109,606234,1084875,18125,1414336,2087766,720033,449,445,1869,158,4244,900738,803407,97331,3534,21.90%
KARNATAKA,Kodagu,4102.0,142716,554519,274608,279911,412877,215302,325289,141642,59306,82336,278938,172100,106838,275581,102508,173073,58054,73584,448986,87274,139,126,250,220,394,212974,181182,31792,3308,8.64%
JHARKHAND,Kodarma,2540.0,116155,716259,367222,349037,390249,238780,242961,326010,128442,197568,257418,173993,83425,458841,193229,265612,6903,109003,605138,107018,944,32,980,269,657,151485,116714,34771,845,32.68%
NAGALAND,Kohima,1463.0,54391,267988,138966,129022,197489,107038,62314,70499,31928,38571,114825,68140,46685,153163,70826,82337,224738,0,25496,4384,998,1519,80,335,221,76100,31845,44255,1928,11.03%
ASSAM,Kokrajhar,3296.0,181081,887142,452905,434237,489305,275220,534182,397837,177685,220152,341131,236322,104809,546011,216583,329428,278665,29570,529068,252271,93,1718,396,123,2382,222011,204896,17115,1218,32.14%
KARNATAKA,Kolar,3979.0,333348,1536401,776396,760005,1016219,564110,359355,520182,212286,307896,717872,454048,263824,818529,322348,496181,78875,465867,1305431,199873,253,150,2494,92,1386,477609,326567,151042,5051,9.53%
MIZORAM,Kolasib,1382.0,17270,83955,42918,41037,65895,34147,180530,18060,8771,9289,36672,22733,13939,47283,20185,27098,73609,84,4000,4426,16,108,2,46,147,22176,9669,12507,367,8.44%
MAHARASHTRA,Kolhapur,7685.0,840240,3876001,1980658,1895343,2825845,1559760,196964,1050156,420898,629258,1704054,1125204,578850,2171947,855454,1316493,30206,504461,3379906,286558,1570,29766,154882,1274,6472,1179314,796496,382818,22269,10.17%
WEST BENGAL,Kolkata,185.0,1024928,4496694,2356766,2139928,3588137,1926915,114033,908557,429851,478706,1795740,1412466,383274,2700954,944300,1756654,10684,241932,3440290,926414,13849,4771,21178,1452,48982,1308106,0,1308106,136618,2.72%
KERALA,Kollam,2483.0,669375,2635375,1246968,1388407,2240273,1074345,445100,395102,172623,222479,912025,644362,267663,1723350,602606,1120744,10761,328263,1697635,508500,208,272,63,619,6480,925130,523715,401415,31542,0.72%
KARNATAKA,Koppal,5570.0,264595,1389920,699926,689994,809085,468785,463964,580835,231141,349694,654766,387974,266792,735154,311952,423202,164271,258608,1218024,161770,296,85,2898,461,2305,337649,272968,64681,2135,24.31%
ORISSA,Koraput,8807.0,337677,1379647,678809,700838,568090,340843,238587,811557,337966,473591,693406,384053,309353,686241,294756,391485,697583,196540,1294151,8850,518,219,491,3384,3484,460128,381789,78339,3988,51.14%
CHHATTISGARH,Korba,6598.0,280073,1206640,612915,593725,748759,433391,250223,457881,179524,278357,521186,333329,187857,685454,279586,405868,493559,124679,1133176,30195,3666,897,753,15649,1245,332653,206598,126055,4544,31.85%
CHHATTISGARH,Koriya,6604.0,153274,658917,334737,324180,397823,229923,218373,261094,104814,156280,307071,185483,121588,351846,149254,202592,304280,54776,604259,25878,1391,84,1155,15474,1278,181615,121852,59763,1667,38.24%
RAJASTHAN,Kota,5217.0,396501,1951014,1021161,929853,1298345,765396,205600,652669,255765,396904,748811,534650,214161,1202203,486511,715692,183816,405408,1661307,243993,11058,280,25742,286,2683,515189,203454,311735,12843,13.30%
KERALA,Kottayam,2206.0,487296,1974551,968289,1006262,1749798,861592,597912,224753,106697,118056,735735,530322,205413,1238816,437967,800849,21972,153909,983598,126499,204,358,83,565,4636,678161,481967,196194,37849,0.00%
KERALA,Kozhikode,2345.0,697710,3086293,1470942,1615351,2615443,1266939,1102158,470850,204003,266847,948981,752333,196648,2137312,718609,1418703,15228,199191,1734958,1211131,297,235,601,588,6967,990336,323793,666543,36791,0.26%
ANDHRA PRADESH,Krishna,8727.0,1243293,4517398,2267375,2250023,3009718,1598959,821771,1507680,668416,839264,2048880,1327299,721581,2468518,940076,1528442,132464,871063,4023678,307043,1393,863,6320,906,31597,1476334,909292,567042,30438,8.69%
TAMIL NADU,Krishnagiri,5129.0,448053,1879809,960232,919577,1187958,667062,636172,691851,293170,398681,877779,561634,316145,1002030,398598,603432,22388,267386,1723737,115303,468,121,373,221,3630,580540,437988,142552,9619,4.90%
JAMMU AND KASHMIR,Kulgam,410.0,73728,424483,217620,206863,209085,125052,487211,215398,92568,122830,159990,102317,57673,264493,115303,149190,26525,21,4267,418076,1035,27,25,9,584,121130,95952,25178,838,7.43%
HIMACHAL PRADESH,Kullu,5503.0,94807,437903,225452,212451,307672,174550,934413,130231,50902,79329,269084,148829,120255,168819,76623,92196,16822,122659,415669,2974,1396,15377,94,83,742,188704,167995,20709,2623,8.97%
JAMMU AND KASHMIR,Kupwara,2379.0,113929,870354,474190,396164,439654,282823,1878647,430700,191367,239333,229064,190899,38165,641290,283291,357999,70352,1048,37128,823286,5600,66,39,13,2522,181664,158438,23226,762,16.08%
ANDHRA PRADESH,Kurnool,17658.0,887652,4053463,2039227,2014236,2127161,1246369,956966,1926302,792858,1133444,2029425,1164122,865303,2024038,875105,1148933,82831,737945,3328380,670737,737,255,2235,434,17520,1090835,783853,306982,10081,19.64%
HARYANA,Kurukshetra,1530.0,188143,964655,510976,453679,646893,370828,2329168,317762,140148,177614,336780,268556,68224,627875,242420,385455,0,215128,805175,15970,140395,214,375,106,477,291821,203553,88268,7356,6.42%
ARUNACHAL PRADESH,Kurung Kumey,6040.0,15037,92076,45318,46758,36606,20258,1601689,55470,25060,30410,38044,18429,19615,54032,26889,27143,90764,0,4859,471,43,121,81,34158,1154,19695,18603,1092,95,39.55%
UTTAR PRADESH,Kushinagar,2905.0,561062,3564544,1818055,1746489,1954820,1183722,3552647,1609724,634333,975391,1116973,804857,312116,2447571,1013198,1434373,80269,544231,2928462,620244,767,4619,383,133,4930,785099,742324,42775,3486,42.82%
HIMACHAL PRADESH,Lahul & Spiti,13841.0,6674,31564,16588,14976,21845,12897,1866611,9719,3691,6028,19295,10763,8532,12269,5825,6444,25707,2235,11649,74,35,19572,3,1,18,17434,17434,0,61,7.72%
ASSAM,Lakhimpur,2277.0,204307,1042137,529674,512463,683486,375552,933655,358651,154122,204529,429995,282250,147745,612142,247424,364718,249426,81840,797130,193476,412,1074,250,2410,1168,327933,293239,34694,1948,24.23%
BIHAR,Lakhisarai,1228.0,163355,1000912,526345,474567,507270,305182,622847,493642,221163,272479,326576,240494,86082,674336,285851,388485,8333,153209,956396,40886,140,52,78,52,2821,207645,175882,31763,1186,43.90%
LAKSHADWEEP,Lakshadweep,30.0,11574,64473,33123,31350,52553,28023,1662382,11920,5100,6820,18753,15318,3435,45720,17805,27915,61120,0,1788,62268,8,10,11,7,64,21242,5289,15953,327,1.82%
UTTAR PRADESH,Lalitpur,5039.0,222094,1221592,641011,580581,641191,397586,1661222,580401,243425,336976,503351,326783,176568,718241,314228,404013,71610,240519,1163804,33724,1034,69,20390,41,1179,301832,258013,43819,1079,35.98%
JHARKHAND,Latehar,4291.0,133381,726978,369666,357312,350682,209706,2488380,376296,159960,216336,313379,180106,133273,413599,189560,224039,331096,154910,473049,69808,120,128,16,133525,2679,160514,146377,14137,340,52.91%
MAHARASHTRA,Latur,7157.0,481572,2454196,1273140,1181056,1650672,932432,1811499,803524,340708,462816,1046857,670018,376839,1407339,603122,804217,57488,480913,2006984,367664,935,66535,6387,310,2994,585632,428616,157016,6217,17.79%
MIZORAM,Lawngtlai,2557.0,22984,117894,60599,57295,62861,36444,1774121,55033,24155,30878,45566,28517,17049,72328,32082,40246,112354,146,1668,522,52,51549,122,2,87,27266,21993,5273,162,30.45%
JAMMU AND KASHMIR,Leh(Ladakh),45110.0,21909,133487,78971,54516,93770,62834,248315,39717,16137,23580,75079,53265,21814,58408,25706,32702,95857,488,22882,19057,1092,88635,103,54,1006,54394,36920,17474,574,5.37%
JHARKHAND,Lohardaga,1502.0,88638,461790,232629,229161,259707,149568,206159,202083,83061,119022,221332,121605,99727,240458,111024,129434,262734,15330,112378,95012,51,33,15,235987,1544,111484,96759,14725,351,45.33%
ARUNACHAL PRADESH,Lohit,5212.0,30005,145726,76221,69505,83062,48380,151469,62664,27841,34823,60945,38910,22035,84781,37311,47470,47410,0,99020,3846,210,24452,104,7277,133,44971,33599,11372,312,31.97%
NAGALAND,Longleng,562.0,11985,50484,26502,23982,29859,16139,469739,20625,10363,10262,30568,16273,14295,19916,10229,9687,48615,0,873,635,5,77,0,0,45,15137,12686,2451,37,33.88%
ARUNACHAL PRADESH,Lower Dibang Valley,3900.0,11600,54080,28053,26027,31849,18087,303701,22231,9966,12265,22326,14102,8224,31754,13951,17803,25974,0,28915,2247,33,2932,19,10393,328,15950,12000,3950,207,23.56%
ARUNACHAL PRADESH,Lower Subansiri,3508.0,15249,83030,41843,41187,54057,29470,228307,28973,12373,16600,30202,17339,12863,52828,24504,28324,72911,0,9551,1482,27,193,13,37085,277,23477,18112,5365,381,15.80%
