State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
BIHAR,Bhagalpur,2569.0,564711,3037766,1615663,1422103,1573066,937669,357664,1464700,677994,786706,983528,740056,243472,2054238,875607,1178631,67180,318569,2487866,537098,415,180,1050,32,7569,653161,522527,130634,6764,45.60%
MAHARASHTRA,Bhandara,4087.0,278076,1200334,605520,594814,899860,488709,276065,300474,116811,183663,597305,345054,252251,603029,260466,342563,88886,200372,1009352,26502,831,154458,1017,3555,2474,356418,283843,72575,2932,8.19%
RAJASTHAN,Bharatpur,5066.0,425414,2548462,1355726,1192736,1480869,943910,260747,1067593,411816,655777,1071154,647198,423956,1477308,708528,768780,54090,557305,2143046,371286,23456,899,5758,18,2423,609134,479437,129697,4179,40.00%
GUJARAT,Bharuch,6509.0,333483,1551019,805707,745312,1118276,623047,413497,432743,182660,250083,627124,468919,158205,923895,336788,587107,488194,62235,1188204,343511,1733,442,4813,342,2480,481996,300677,181319,10257,17.38%
GUJARAT,Bhavnagar,10034.0,538605,2880365,1490201,1390164,1887255,1087371,322463,993110,402830,590280,1150632,838781,311851,1729733,651420,1078313,9110,157034,2632574,212863,1410,445,26974,127,2515,744077,387251,356826,7297,17.90%
RAJASTHAN,Bhilwara,10455.0,498125,2408523,1220736,1187787,1256126,777582,408435,1152397,443154,709243,1148165,674589,473576,1260358,546147,714211,229273,407947,2224839,142427,1468,183,35149,60,2419,675880,530015,145865,6207,27.23%
MADHYA PRADESH,Bhind,4459.0,299233,1703005,926843,776162,1094917,676513,330709,608088,250330,357758,520768,455775,64993,1182237,471068,711169,6131,374799,1595400,66776,4047,12215,19950,73,3571,359596,271211,88385,1166,33.18%
HARYANA,Bhiwani,4778.0,311380,1634445,866672,767773,1069871,643158,230107,564574,223514,341060,623006,430678,192328,1011439,435994,575445,0,341162,1611031,15515,2401,254,1016,26,3329,456282,357047,99235,5292,12.78%
BIHAR,Bhojpur,2395.0,416090,2728407,1430380,1298027,1599151,973486,325929,1129256,456894,672362,822493,640283,182210,1905914,790097,1115817,13977,425402,2518216,197819,544,647,1472,48,7496,511927,434559,77368,3661,40.50%
MADHYA PRADESH,Bhopal,2772.0,501805,2371061,1236130,1134931,1660690,920314,444111,710371,315816,394555,867457,644960,222497,1503604,591170,912434,69429,357516,1755861,525434,10789,21688,25950,335,7572,700719,118893,581826,40788,12.66%
MAHARASHTRA,Bid,10693.0,535835,2585049,1349106,1235943,1718507,987185,426713,866542,361921,504621,1255548,727819,527729,1329501,621287,708214,32722,351254,2174672,320395,824,68482,8719,399,9461,698571,563114,135457,5614,22.49%
KARNATAKA,Bidar,5448.0,319937,1703300,870665,832635,1042673,597198,311557,660627,273467,387160,702608,459050,243558,1000692,411615,589077,235822,399785,1289709,335184,1145,30453,680,521,10170,389403,287134,102269,3971,18.99%
CHHATTISGARH,Bijapur,8530.0,54757,255230,128663,126567,86919,54076,276611,168311,74587,93724,134525,71591,62934,120705,57072,63633,204189,10122,245151,1617,68,1649,15,3793,228,58391,50449,7942,117,41.20%
KARNATAKA,Bijapur,10498.0,408806,2177331,1111022,1066309,1248268,730566,249815,929063,380456,548607,927722,580111,347611,1249609,530911,718698,39314,442773,1786830,369588,558,374,8665,499,8384,527490,396449,131041,4987,41.20%
UTTAR PRADESH,Bijnor,4561.0,633197,3682713,1921215,1761498,2135393,1241471,261494,1547320,679744,867576,1088036,921497,166539,2594677,999718,1594959,3058,787444,2032081,1585210,50624,1736,2134,41,4703,908523,683875,224648,7303,29.76%
RAJASTHAN,Bikaner,30239.0,384944,2363937,1240801,1123136,1278801,782399,472450,1085136,458402,626734,986208,640572,345636,1377729,600229,777500,7779,493646,2073356,235741,20072,285,30850,79,1653,531933,335754,196179,7607,22.21%
HIMACHAL PRADESH,Bilaspur,1167.0,80485,381956,192764,189192,287620,155599,146462,94336,37165,57171,205871,111543,94328,176085,81221,94864,10693,98989,371973,6984,2387,113,10,7,246,164445,152458,11987,1574,7.54%
CHHATTISGARH,Bilaspur,8272.0,600822,2663629,1351574,1312055,1596560,932474,537799,1067069,419100,647969,1203197,715467,487730,1460432,636107,824325,498469,552992,2540763,57973,6373,2979,2357,29122,3317,737806,549632,188174,8566,25.66%
WEST BENGAL,Birbhum,4545.0,817899,3502404,1790920,1711484,2158447,1201481,220100,1343957,589439,754518,1331603,1029770,301833,2170801,761150,1409651,242484,1033140,2181515,1298054,582,258,1152,6051,3886,965609,831044,134565,5210,27.35%
MANIPUR,Bishnupur,496.0,46580,237399,118782,118617,156333,87313,1165903,81066,31469,49597,109937,62807,47130,127462,55975,71487,3287,22113,175102,18691,56,76,16,38457,737,56149,34977,21172,676,13.72%
JHARKHAND,Bokaro,2883.0,394918,2062330,1072807,989523,1273520,759088,299902,788810,313719,475091,685368,507677,177691,1376962,565130,811832,255626,299227,1636460,241451,4174,1890,2045,160524,2056,508764,250312,258452,9754,29.33%
ASSAM,Bongaigaon,1093.0,150018,738804,375818,362986,434078,237114,699107,304726,138704,166022,255806,197542,58264,482998,178276,304722,18835,82784,359145,371033,384,236,871,9,1202,220393,181923,38470,2523,33.77%
UTTAR PRADESH,Budaun,5168.0,615776,3681896,1967759,1714137,1547477,986501,604616,2134419,981258,1153161,1107343,939616,167727,2574553,1028143,1546410,58,622526,2867707,790515,1135,1959,678,87,13495,867624,710956,156668,3634,57.10%
UTTAR PRADESH,Bulandshahr,4512.0,587529,3499171,1845260,1653911,2031656,1253314,48501,1467515,591946,875569,1173260,897815,275445,2325911,947445,1378466,198,725600,2707195,777407,2765,669,1572,86,5389,880077,658449,221628,7865,32.88%
MAHARASHTRA,Buldana,9661.0,561504,2586258,1337560,1248698,1879874,1048892,201842,706384,288668,417716,1219641,734024,485617,1366617,603536,763081,124837,470895,1845424,354236,1668,364229,12242,522,4406,728192,575405,152787,4767,18.22%
RAJASTHAN,Bundi,5776.0,220768,1110906,577160,533746,585044,371705,867246,525862,205455,320407,526091,314806,211285,584815,262354,322461,228549,210788,1017688,66609,11059,144,13455,24,1245,303288,239836,63452,1392,33.07%
MADHYA PRADESH,Burhanpur,3427.0,146341,757847,388504,369343,408679,233073,762428,349168,155431,193737,328339,211925,116414,429508,176579,252929,230095,64254,552526,180840,1074,19883,1884,99,342,178840,115979,62861,986,36.94%
BIHAR,Buxar,1703.0,261660,1706352,887977,818375,989807,593544,893366,716545,294433,422112,538322,402180,136142,1168030,485797,682233,26824,251737,1591454,105423,248,5090,97,57,1858,334657,299252,35405,1784,41.84%
ASSAM,Cachar,3786.0,379955,1736617,886284,850333,1174128,639946,482435,562489,246338,316151,608062,469752,138310,1128555,416532,712023,17569,264897,1038985,654816,280,341,1673,98,2789,435160,346227,88933,5316,42.29%
NCT OF DELHI,Central,21.0,119639,582320,307821,274499,442360,240518,409855,139960,67303,72657,207374,177621,29753,374946,130200,244746,0,143178,364148,194278,13038,362,5886,107,974,194897,0,194897,19724,3.84%
KARNATAKA,Chamarajanagar,5648.0,244874,1020791,512231,508560,565279,312957,496402,455512,199274,256238,481693,324326,157367,539098,187905,351193,120219,259445,942071,47210,136,4872,761,140,3418,319880,262680,57200,1334,18.45%
HIMACHAL PRADESH,Chamba,6522.0,102460,519080,261320,257760,323842,186064,452540,195238,75256,119982,294035,158791,135244,225045,102529,122516,135500,111690,479782,32455,2745,1740,57,14,728,200231,186395,13836,1615,11.27%
UTTARAKHAND,Chamoli,8030.0,88964,391605,193991,197614,280556,155395,554526,111049,38596,72453,180940,93832,87108,210665,100159,110506,12260,79317,385818,4395,323,190,11,23,417,186340,163434,22906,899,16.78%
UTTARAKHAND,Champawat,1766.0,53953,259648,131125,128523,177726,102015,822647,81922,29110,52812,99566,60427,39139,160082,70698,89384,1339,47383,249563,8693,336,24,28,6,128,98041,85202,12839,548,22.41%
MIZORAM,Champhai,3185.0,25520,125745,63388,62357,100802,51440,536959,24943,11948,12995,60342,34129,26213,65403,29259,36144,123466,17,1075,699,9,151,45,194,126,31112,18395,12717,186,10.09%
UTTAR PRADESH,Chandauli,2541.0,296804,1952756,1017905,934851,1174606,699454,247377,778150,318451,459699,652543,462971,189572,1300213,554934,745279,41725,446786,1727869,215081,1389,340,100,1175,4649,395759,344937,50822,3492,37.91%
MANIPUR,Chandel,3313.0,28801,144182,74579,69603,90302,51053,273945,53880,23526,30354,76238,42615,33623,67944,31964,35980,128280,540,10810,3086,136,400,59,354,288,34160,30377,3783,184,26.89%
CHANDIGARH,Chandigarh,114.0,241173,1055450,580663,474787,805438,465346,255564,250012,115317,134695,404136,328159,75977,651314,252504,398810,0,199086,852574,51447,138329,1160,1960,246,1014,298367,8911,289456,44283,5.97%
MAHARASHTRA,Chandrapur,11443.0,536686,2204307,1123834,1080473,1578615,872565,341116,625692,251269,374423,1058172,648565,409607,1146135,475269,670866,389441,348365,1780085,92297,5251,286734,3861,23188,2190,684655,451324,233331,8239,17.65%
