state_name,year,details,male,female,total
SIKKIM,2001,Total Under trials Released,86,1,87
SIKKIM,2001,Detenus Released - Released on completion of detention period,0,0,0
SIKKIM,2001,Detenus Released - Released before completion of detention period,0,0,0
SIKKIM,2001,Detenus Released - Released on bail,0,0,0
SIKKIM,2001,Detenus Released - Other releases (temporary transfer etc.),0,0,0
SIKKIM,2001,Total Detenus Released,0,0,0
SIKKIM,2002,Convicts Released - Released after completion of conviction,0,0,0
SIKKIM,2002,Convicts Released - Premature release,0,0,0
SIKKIM,2002,Convicts Released - Released on appeal,0,0,0
SIKKIM,2002,Convicts Released - Released on bail,0,0,0
SIKKIM,2002,Convicts Released - Pardons,0,0,0
SIKKIM,2002,Convicts Released - Transferred to other States,0,0,0
SIKKIM,2002,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",0,0,0
SIKKIM,2002,Total Convicts Released,0,0,0
SIKKIM,2002,Under trials Released - Acquitted,0,0,0
SIKKIM,2002,Under trials Released - Released on appeal,0,0,0
SIKKIM,2002,Under trials Released - Released on bail,0,0,0
SIKKIM,2002,Under trials Released - Transferred to other States,0,0,0
SIKKIM,2002,Under trials Released - Extradited,0,0,0
SIKKIM,2002,Under trials Released - Other releases (transferred to Mental/Civil hospital),0,0,0
SIKKIM,2002,Total Under trials Released,0,0,0
SIKKIM,2002,Detenus Released - Released on completion of detention period,0,0,0
SIKKIM,2002,Detenus Released - Released before completion of detention period,0,0,0
SIKKIM,2002,Detenus Released - Released on bail,0,0,0
SIKKIM,2002,Detenus Released - Other releases (temporary transfer etc.),0,0,0
SIKKIM,2002,Total Detenus Released,0,0,0
SIKKIM,2003,Convicts Released - Released after completion of conviction,34,0,34
SIKKIM,2003,Convicts Released - Premature release,1,0,1
SIKKIM,2003,Convicts Released - Released on appeal,1,0,1
SIKKIM,2003,Convicts Released - Released on bail,0,0,0
SIKKIM,2003,Convicts Released - Pardons,0,0,0
SIKKIM,2003,Convicts Released - Transferred to other States,0,0,0
SIKKIM,2003,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",4,0,4
SIKKIM,2003,Total Convicts Released,40,0,40
SIKKIM,2003,Under trials Released - Acquitted,10,0,10
SIKKIM,2003,Under trials Released - Released on appeal,0,0,0
SIKKIM,2003,Under trials Released - Released on bail,82,0,82
SIKKIM,2003,Under trials Released - Transferred to other States,0,0,0
SIKKIM,2003,Under trials Released - Extradited,0,0,0
SIKKIM,2003,Under trials Released - Other releases (transferred to Mental/Civil hospital),0,0,0
SIKKIM,2003,Total Under trials Released,92,0,92
SIKKIM,2003,Detenus Released - Released on completion of detention period,0,0,0
SIKKIM,2003,Detenus Released - Released before completion of detention period,0,0,0
SIKKIM,2003,Detenus Released - Released on bail,0,0,0
SIKKIM,2003,Detenus Released - Other releases (temporary transfer etc.),0,0,0
SIKKIM,2003,Total Detenus Released,0,0,0
SIKKIM,2004,Convicts Released - Released after completion of conviction,52,1,53
SIKKIM,2004,Convicts Released - Premature release,0,0,0
SIKKIM,2004,Convicts Released - Released on appeal,0,0,0
SIKKIM,2004,Convicts Released - Released on bail,0,0,0
SIKKIM,2004,Convicts Released - Pardons,0,0,0
SIKKIM,2004,Convicts Released - Transferred to other States,1,0,1
