TimePeriod,Area_Name,Number of Vehicles Available,Data_Value
2005, Punjab,Ambulance,14
2005,Chandigarh,Ambulance,0
2005, Uttarakhand,Ambulance,8
2005, Haryana,Ambulance,4
2005,Delhi,Ambulance,12
2005, Rajasthan,Ambulance,24
2005, Uttar Pradesh,Ambulance,39
2005, Bihar,Ambulance,5
2005, Sikkim,Ambulance,0
2005, Nagaland,Ambulance,1
2005, Manipur,Ambulance,2
2005, Mizoram,Ambulance,1
2005, Tripura,Ambulance,2
2005, Meghalaya,Ambulance,4
2005, Assam,Ambulance,0
2005, West Bengal,Ambulance,54
2005, Jharkhand,Ambulance,12
2005, Odisha,Ambulance,1
2005, Chhattisgarh,Ambulance,7
2005, Madhya Pradesh,Ambulance,9
2005, Gujarat,Ambulance,11
2005,Daman & Diu,Ambulance,0
2005,Dadra & Nagar Haveli,Ambulance,0
2005, Maharashtra,Ambulance,21
2005, Andhra Pradesh,Ambulance,4
2005, Karnataka,Ambulance,18
2005, Goa,Ambulance,2
2005,Lakshadweep,Ambulance,0
2005, Kerala,Ambulance,7
2005, Tamil Nadu,Ambulance,11
2005,Puducherry,Ambulance,0
2005,Andaman & Nicobar Islands,Ambulance,0
2006, Jammu & Kashmir,Ambulance,2
2006, Himachal Pradesh,Ambulance,1
2006, Punjab,Ambulance,14
2006,Chandigarh,Ambulance,0
2006, Uttarakhand,Ambulance,9
2006, Haryana,Ambulance,3
2006,Delhi,Ambulance,7
2006, Rajasthan,Ambulance,24
2006, Uttar Pradesh,Ambulance,40
2006, Bihar,Ambulance,5
2006, Sikkim,Ambulance,0
2006, Nagaland,Ambulance,1
2006, Manipur,Ambulance,2
2006, Mizoram,Ambulance,1
2006, Tripura,Ambulance,2
2006, Meghalaya,Ambulance,4
2006, Assam,Ambulance,0
2006, West Bengal,Ambulance,54
2006, Jharkhand,Ambulance,23
2006, Odisha,Ambulance,1
2006, Chhattisgarh,Ambulance,11
2006, Madhya Pradesh,Ambulance,10
2006, Gujarat,Ambulance,4
2006,Daman & Diu,Ambulance,0
2006,Dadra & Nagar Haveli,Ambulance,0
2006, Maharashtra,Ambulance,24
2006, Andhra Pradesh,Ambulance,4
2006, Karnataka,Ambulance,18
2006, Goa,Ambulance,1
2006,Lakshadweep,Ambulance,0
2006, Kerala,Ambulance,5
2006, Tamil Nadu,Ambulance,14
2006,Puducherry,Ambulance,0
2006,Andaman & Nicobar Islands,Ambulance,0
2007, Jammu & Kashmir,Ambulance,2
2007, Himachal Pradesh,Ambulance,1
2007, Punjab,Ambulance,14
2007,Chandigarh,Ambulance,0
2007, Uttarakhand,Ambulance,5
2007, Haryana,Ambulance,4
2007,Delhi,Ambulance,9
2007, Uttar Pradesh,Ambulance,50
2007, Bihar,Ambulance,5
2007, Sikkim,Ambulance,0
2007, Nagaland,Ambulance,1
2007, Manipur,Ambulance,2
2007, Mizoram,Ambulance,1
2007, Tripura,Ambulance,2
2007, Meghalaya,Ambulance,3
2007, Assam,Ambulance,0
2007, West Bengal,Ambulance,51
2007, Jharkhand,Ambulance,27
2007, Odisha,Ambulance,1
2007, Chhattisgarh,Ambulance,12
2007, Madhya Pradesh,Ambulance,9
2007, Gujarat,Ambulance,15
2007,Daman & Diu,Ambulance,0
2007,Dadra & Nagar Haveli,Ambulance,0
2007, Maharashtra,Ambulance,24
2007, Andhra Pradesh,Ambulance,4
2007, Karnataka,Ambulance,19
2007, Goa,Ambulance,2
2007,Lakshadweep,Ambulance,0
2007, Kerala,Ambulance,7
2007, Tamil Nadu,Ambulance,29
2007,Puducherry,Ambulance,0
2007,Andaman & Nicobar Islands,Ambulance,0
2001, Jammu & Kashmir,Car,2
2001, Himachal Pradesh,Car,0
2001, Punjab,Car,1
2001,Chandigarh,Car,0
2001, Uttarakhand,Car,0
2001, Haryana,Car,3
2001,Delhi,Car,4
2001, Rajasthan,Car,2
2001, Uttar Pradesh,Car,4
2001, Bihar,Car,0
2001, Sikkim,Car,0
2001, Nagaland,Car,1
2001, Manipur,Car,2
2001, Mizoram,Car,0
2001, Tripura,Car,3
2001, Meghalaya,Car,0
2001, Assam,Car,0
2001, West Bengal,Car,0
2001, Jharkhand,Car,0
2001, Odisha,Car,3
2001, Chhattisgarh,Car,1
2001, Madhya Pradesh,Car,4
2001, Gujarat,Car,34
2001,Daman & Diu,Car,0
2001,Dadra & Nagar Haveli,Car,0
2001, Maharashtra,Car,5
2001, Andhra Pradesh,Car,7
2001, Karnataka,Car,3
2001, Goa,Car,0
2001,Lakshadweep,Car,0
2001, Kerala,Car,2
2001, Tamil Nadu,Car,15
2001,Puducherry,Car,0
2002, Jammu & Kashmir,Car,3
2002, Himachal Pradesh,Car,2
2002, Punjab,Car,3
2002,Chandigarh,Car,0
2002, Uttarakhand,Car,0
2002, Haryana,Car,0
2002,Delhi,Car,4
