STATE/UT,Year,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2008,DOWRY PROHIBITION ACT,0,0,0,39,0,39,105,13,118,9,7,16,153,20,173
ANDHRA PRADESH,2008,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,PREVENTION OF CORRUPTION ACT-1988,0,0,0,5,0,5,14,0,14,6,0,6,25,0,25
ANDHRA PRADESH,2008,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,OTHER SLL OFFENCE,0,0,0,29,0,29,62,8,70,9,2,11,100,10,110
ANDHRA PRADESH,2008,TOTAL,0,0,0,490,69,559,837,141,978,156,50,206,1483,260,1743
ANDHRA PRADESH,2009,ARMS ACT,0,0,0,66,1,67,70,2,72,8,0,8,144,3,147
ANDHRA PRADESH,2009,N.D.P.S. ACT,0,0,0,66,6,72,58,7,65,8,0,8,132,13,145
ANDHRA PRADESH,2009,GAMBLING ACT,0,0,0,40,0,40,27,1,28,4,0,4,71,1,72
ANDHRA PRADESH,2009,EXCISE ACT,0,0,0,141,2,143,309,19,328,10,8,18,460,29,489
ANDHRA PRADESH,2009,PROHIBITION ACT,0,0,0,94,13,107,133,38,171,27,7,34,254,58,312
ANDHRA PRADESH,2009,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,26,1,27,21,0,21,0,0,0,47,1,48
ANDHRA PRADESH,2009,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,15,7,22,15,4,19,0,0,0,30,11,41
ANDHRA PRADESH,2009,INDIAN RAILWAYS ACT,0,0,0,61,3,64,87,1,88,17,0,17,165,4,169
ANDHRA PRADESH,2009,REGISTRATION OF FOREIGNERS ACT,0,0,0,0,0,0,15,0,15,0,1,1,15,1,16
ANDHRA PRADESH,2009,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,29,1,30,39,2,41,9,0,9,77,3,80
ANDHRA PRADESH,2009,INDIAN PASSPORT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4
ANDHRA PRADESH,2009,DOWRY PROHIBITION ACT,0,0,0,29,3,32,36,3,39,3,5,8,68,11,79
ANDHRA PRADESH,2009,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,PREVENTION OF CORRUPTION ACT-1988,0,0,0,5,0,5,24,0,24,3,0,3,32,0,32
ANDHRA PRADESH,2009,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,26,0,26,34,0,34,4,0,4,64,0,64
ANDHRA PRADESH,2009,OTHER SLL OFFENCE,0,0,0,20,0,20,35,12,47,11,0,11,66,12,78
ANDHRA PRADESH,2009,TOTAL,0,0,0,618,37,655,903,93,996,104,21,125,1625,151,1776
ANDHRA PRADESH,2010,ARMS ACT,0,0,0,67,2,69,65,2,67,4,0,4,136,4,140
ANDHRA PRADESH,2010,N.D.P.S. ACT,0,0,0,45,2,47,95,13,108,13,1,14,153,16,169
ANDHRA PRADESH,2010,GAMBLING ACT,0,0,0,3,0,3,9,0,9,2,0,2,14,0,14
ANDHRA PRADESH,2010,EXCISE ACT,0,0,0,83,5,88,217,24,241,31,3,34,331,32,363
ANDHRA PRADESH,2010,PROHIBITION ACT,0,0,0,53,4,57,150,20,170,25,8,33,228,32,260
ANDHRA PRADESH,2010,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,6,0,6,14,0,14,3,0,3,23,0,23
ANDHRA PRADESH,2010,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,10,0,10,0,0,0,10,0,10
ANDHRA PRADESH,2010,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,11,8,19,21,4,25,0,0,0,32,12,44
ANDHRA PRADESH,2010,INDIAN RAILWAYS ACT,0,0,0,43,3,46,41,2,43,11,0,11,95,5,100
ANDHRA PRADESH,2010,REGISTRATION OF FOREIGNERS ACT,0,0,0,5,0,5,19,0,19,0,0,0,24,0,24
ANDHRA PRADESH,2010,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
ANDHRA PRADESH,2010,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,9,0,9,34,3,37,5,0,5,48,3,51
ANDHRA PRADESH,2010,INDIAN PASSPORT ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,ESSENTIAL COMMODITIES ACT,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4
ANDHRA PRADESH,2010,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,DOWRY PROHIBITION ACT,0,0,0,30,0,30,60,6,66,4,0,4,94,6,100
ANDHRA PRADESH,2010,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,PREVENTION OF CORRUPTION ACT-1988,0,0,0,4,0,4,20,0,20,4,0,4,28,0,28
ANDHRA PRADESH,2010,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,OTHER SLL OFFENCE,0,0,0,20,1,21,75,3,78,4,0,4,99,4,103
ANDHRA PRADESH,2010,TOTAL,0,0,0,379,29,408,836,77,913,106,12,118,1321,118,1439
ANDHRA PRADESH,2011,ARMS ACT,0,0,0,32,1,33,48,2,50,4,0,4,84,3,87
ANDHRA PRADESH,2011,N.D.P.S. ACT,0,0,0,51,3,54,57,3,60,8,3,11,116,9,125
ANDHRA PRADESH,2011,GAMBLING ACT,0,0,0,5,0,5,19,0,19,0,0,0,24,0,24
ANDHRA PRADESH,2011,EXCISE ACT,0,0,0,97,5,102,172,41,213,29,5,34,298,51,349
ANDHRA PRADESH,2011,PROHIBITION ACT,0,0,0,31,15,46,61,36,97,10,1,11,102,52,154
ANDHRA PRADESH,2011,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,3,0,3,10,2,12,0,0,0,13,2,15
ANDHRA PRADESH,2011,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,18,7,25,0,0,0,0,0,0,18,7,25
