TimePeriod,Area_Name,Indicator_Name,Data_Value
2004, Madhya Pradesh,Food Expenditure,167169000
2004, Gujarat,Food Expenditure,56825000
2004,Daman & Diu,Food Expenditure,399750
2004,Dadra & Nagar Haveli,Food Expenditure,300000
2004, Maharashtra,Food Expenditure,112159479
2004, Andhra Pradesh,Food Expenditure,112226000
2004, Karnataka,Food Expenditure,63717909
2004, Goa,Food Expenditure,3571522
2004,Lakshadweep,Food Expenditure,0
2004, Kerala,Food Expenditure,63353633
2004, Tamil Nadu,Food Expenditure,138311000
2004,Puducherry,Food Expenditure,2089851
2004,Andaman & Nicobar Islands,Food Expenditure,5221100
2005, Jammu & Kashmir,Food Expenditure,28034000
2005, Himachal Pradesh,Food Expenditure,10721000
2005, Punjab,Food Expenditure,79661000
2005,Chandigarh,Food Expenditure,4354500
2005, Uttarakhand,Food Expenditure,13176964
2005, Haryana,Food Expenditure,61000000
2005,Delhi,Food Expenditure,72384883
2005, Rajasthan,Food Expenditure,72685000
2005, Uttar Pradesh,Food Expenditure,300000000
2005, Bihar,Food Expenditure,280433476
2005, Sikkim,Food Expenditure,2307736
2005, Nagaland,Food Expenditure,15500000
2005, Manipur,Food Expenditure,7350479
2005, Mizoram,Food Expenditure,18050000
2005, Tripura,Food Expenditure,12354336
2005, Meghalaya,Food Expenditure,5416783
2005, Assam,Food Expenditure,79528000
2005, West Bengal,Food Expenditure,190073494
2005, Jharkhand,Food Expenditure,137463739
2005, Odisha,Food Expenditure,99600000
2005, Chhattisgarh,Food Expenditure,63934038
2005, Madhya Pradesh,Food Expenditure,204495000
2005, Gujarat,Food Expenditure,77724000
2005,Daman & Diu,Food Expenditure,489884
2005,Dadra & Nagar Haveli,Food Expenditure,400000
2005, Maharashtra,Food Expenditure,173076265
2005, Andhra Pradesh,Food Expenditure,114071000
2005, Karnataka,Food Expenditure,10033000
2005, Goa,Food Expenditure,4051949
2005,Lakshadweep,Food Expenditure,0
2005, Kerala,Food Expenditure,62693005
2005, Tamil Nadu,Food Expenditure,126091000
2005,Puducherry,Food Expenditure,1847301
2005,Andaman & Nicobar Islands,Food Expenditure,2200000
2006, Jammu & Kashmir,Food Expenditure,28891000
2006, Himachal Pradesh,Food Expenditure,8719000
2006, Punjab,Food Expenditure,97190000
2006,Chandigarh,Food Expenditure,3650000
2006, Uttarakhand,Food Expenditure,14825711
2006, Haryana,Food Expenditure,81347171
2006,Delhi,Food Expenditure,69292499
2006, Rajasthan,Food Expenditure,75728000
2006, Uttar Pradesh,Food Expenditure,359000000
2006, Bihar,Food Expenditure,359670405
2006, Sikkim,Food Expenditure,1866919
2006, Nagaland,Food Expenditure,15500000
2006, Manipur,Food Expenditure,6579300
2006, Mizoram,Food Expenditure,10301650
2006, Tripura,Food Expenditure,13689066
2006, Meghalaya,Food Expenditure,5649463
2006, Assam,Food Expenditure,91521000
2006, West Bengal,Food Expenditure,199577169
2006, Jharkhand,Food Expenditure,150713344
2006, Odisha,Food Expenditure,120869000
2006, Chhattisgarh,Food Expenditure,84188756
2006, Madhya Pradesh,Food Expenditure,237329000
2006, Gujarat,Food Expenditure,71258000
2006,Daman & Diu,Food Expenditure,559000
2006,Dadra & Nagar Haveli,Food Expenditure,500000
2006, Maharashtra,Food Expenditure,172273000
2006, Andhra Pradesh,Food Expenditure,121871500
2006, Karnataka,Food Expenditure,64959586
2006, Goa,Food Expenditure,4299768
2006,Lakshadweep,Food Expenditure,0
2006, Kerala,Food Expenditure,68827364
2006, Tamil Nadu,Food Expenditure,106042000
2006,Puducherry,Food Expenditure,2388487
2006,Andaman & Nicobar Islands,Food Expenditure,3613000
2007, Jammu & Kashmir,Food Expenditure,33369700
