STATE/UT,YEAR,DETAILS,Male,Female,Total
SIKKIM,2004,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2005,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2005,Parole released - Number of parole absconders,0,0,0
SIKKIM,2005,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2006,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2006,Parole released - Number of parole absconders,0,0,0
SIKKIM,2006,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2007,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2007,Parole released - Number of parole absconders,0,0,0
SIKKIM,2007,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2008,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2008,Parole released - Number of parole absconders,0,0,0
SIKKIM,2008,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2009,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2009,Parole released - Number of parole absconders,0,0,0
SIKKIM,2009,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2010,Parole released - Number of persons released on parole,3,0,3
SIKKIM,2010,Parole released - Number of parole absconders,0,0,0
SIKKIM,2010,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2011,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2011,Parole released - Number of parole absconders,0,0,0
SIKKIM,2011,Parole released - Number of parole absconders rearrested,0,0,0
SIKKIM,2012,Parole released - Number of persons released on parole,0,0,0
SIKKIM,2012,Parole released - Number of parole absconders,0,0,0
SIKKIM,2012,Parole released - Number of parole absconders rearrested,0,0,0
TAMILNADU,2001,Parole released - Number of persons released on parole,3016,12,3028
TAMILNADU,2001,Parole released - Number of parole absconders,25,0,25
TAMILNADU,2001,Parole released - Number of parole absconders rearrested,0,0,0
TAMILNADU,2002,Parole released - Number of persons released on parole,3184,18,3202
TAMILNADU,2002,Parole released - Number of parole absconders,16,0,16
TAMILNADU,2002,Parole released - Number of parole absconders rearrested,14,0,14
TAMILNADU,2003,Parole released - Number of persons released on parole,3284,20,3304
TAMILNADU,2003,Parole released - Number of parole absconders,0,0,0
TAMILNADU,2003,Parole released - Number of parole absconders rearrested,0,0,0
TAMILNADU,2004,Parole released - Number of persons released on parole,3291,25,3316
TAMILNADU,2004,Parole released - Number of parole absconders,0,0,0
TAMILNADU,2004,Parole released - Number of parole absconders rearrested,0,0,0
TAMILNADU,2005,Parole released - Number of persons released on parole,3173,20,3193
TAMILNADU,2005,Parole released - Number of parole absconders,22,0,22
TAMILNADU,2005,Parole released - Number of parole absconders rearrested,7,0,7
TAMILNADU,2006,Parole released - Number of persons released on parole,3173,20,3193
TAMILNADU,2006,Parole released - Number of parole absconders,22,0,22
TAMILNADU,2006,Parole released - Number of parole absconders rearrested,7,0,7
TAMILNADU,2007,Parole released - Number of persons released on parole,3505,15,3520
TAMILNADU,2007,Parole released - Number of parole absconders,15,0,15
TAMILNADU,2007,Parole released - Number of parole absconders rearrested,4,0,4
TAMILNADU,2008,Parole released - Number of persons released on parole,4635,6,4641
TAMILNADU,2008,Parole released - Number of parole absconders,7,0,7
TAMILNADU,2008,Parole released - Number of parole absconders rearrested,3,0,3
TAMILNADU,2009,Parole released - Number of persons released on parole,3584,23,3607
TAMILNADU,2009,Parole released - Number of parole absconders,26,0,26
TAMILNADU,2009,Parole released - Number of parole absconders rearrested,11,0,11
TAMILNADU,2010,Parole released - Number of persons released on parole,3774,24,3798
TAMILNADU,2010,Parole released - Number of parole absconders,18,0,18
TAMILNADU,2010,Parole released - Number of parole absconders rearrested,11,0,11
TAMILNADU,2011,Parole released - Number of persons released on parole,4579,20,4599
TAMILNADU,2011,Parole released - Number of parole absconders,12,0,12
TAMILNADU,2011,Parole released - Number of parole absconders rearrested,8,0,8
TAMILNADU,2012,Parole released - Number of persons released on parole,3835,20,3855
TAMILNADU,2012,Parole released - Number of parole absconders,21,0,21
TAMILNADU,2012,Parole released - Number of parole absconders rearrested,9,0,9
TRIPURA,2001,Parole released - Number of persons released on parole,61,3,64
TRIPURA,2001,Parole released - Number of parole absconders,0,0,0
TRIPURA,2001,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2002,Parole released - Number of persons released on parole,22,0,22
TRIPURA,2002,Parole released - Number of parole absconders,0,0,0
TRIPURA,2002,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2003,Parole released - Number of persons released on parole,27,1,28
TRIPURA,2003,Parole released - Number of parole absconders,0,0,0
TRIPURA,2003,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2004,Parole released - Number of persons released on parole,47,0,47
TRIPURA,2004,Parole released - Number of parole absconders,0,0,0
TRIPURA,2004,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2005,Parole released - Number of persons released on parole,36,0,36
TRIPURA,2005,Parole released - Number of parole absconders,1,0,1
TRIPURA,2005,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2006,Parole released - Number of persons released on parole,60,1,61
TRIPURA,2006,Parole released - Number of parole absconders,1,0,1
TRIPURA,2006,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2007,Parole released - Number of persons released on parole,43,2,45
TRIPURA,2007,Parole released - Number of parole absconders,1,0,1
TRIPURA,2007,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2008,Parole released - Number of persons released on parole,71,1,72
TRIPURA,2008,Parole released - Number of parole absconders,0,0,0
TRIPURA,2008,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2009,Parole released - Number of persons released on parole,38,1,39
TRIPURA,2009,Parole released - Number of parole absconders,0,0,0
TRIPURA,2009,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2010,Parole released - Number of persons released on parole,103,0,103
TRIPURA,2010,Parole released - Number of parole absconders,0,0,0
TRIPURA,2010,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2011,Parole released - Number of persons released on parole,69,0,69
TRIPURA,2011,Parole released - Number of parole absconders,0,0,0
TRIPURA,2011,Parole released - Number of parole absconders rearrested,0,0,0
TRIPURA,2012,Parole released - Number of persons released on parole,106,3,109
TRIPURA,2012,Parole released - Number of parole absconders,0,0,0
TRIPURA,2012,Parole released - Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2001,Parole released - Number of persons released on parole,53,1,54
UTTAR PRADESH,2001,Parole released - Number of parole absconders,6,0,6
UTTAR PRADESH,2001,Parole released - Number of parole absconders rearrested,3,0,3
UTTAR PRADESH,2002,Parole released - Number of persons released on parole,31,0,31
UTTAR PRADESH,2002,Parole released - Number of parole absconders,14,0,14
UTTAR PRADESH,2002,Parole released - Number of parole absconders rearrested,1,0,1
UTTAR PRADESH,2003,Parole released - Number of persons released on parole,127,1,128
UTTAR PRADESH,2003,Parole released - Number of parole absconders,9,0,9
UTTAR PRADESH,2003,Parole released - Number of parole absconders rearrested,1,0,1
UTTAR PRADESH,2004,Parole released - Number of persons released on parole,149,5,154
UTTAR PRADESH,2004,Parole released - Number of parole absconders,3,0,3
UTTAR PRADESH,2004,Parole released - Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2005,Parole released - Number of persons released on parole,102,0,102
UTTAR PRADESH,2005,Parole released - Number of parole absconders,99,11,110
UTTAR PRADESH,2005,Parole released - Number of parole absconders rearrested,2,0,2
UTTAR PRADESH,2006,Parole released - Number of persons released on parole,208,7,215
UTTAR PRADESH,2006,Parole released - Number of parole absconders,44,0,44
UTTAR PRADESH,2006,Parole released - Number of parole absconders rearrested,10,0,10
UTTAR PRADESH,2007,Parole released - Number of persons released on parole,67,0,67
UTTAR PRADESH,2007,Parole released - Number of parole absconders,121,12,133
UTTAR PRADESH,2007,Parole released - Number of parole absconders rearrested,7,0,7
UTTAR PRADESH,2008,Parole released - Number of persons released on parole,192,16,208
UTTAR PRADESH,2008,Parole released - Number of parole absconders,8,0,8
UTTAR PRADESH,2008,Parole released - Number of parole absconders rearrested,4,0,4
UTTAR PRADESH,2009,Parole released - Number of persons released on parole,88,0,88
UTTAR PRADESH,2009,Parole released - Number of parole absconders,3,0,3
UTTAR PRADESH,2009,Parole released - Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2010,Parole released - Number of persons released on parole,97,0,97
UTTAR PRADESH,2010,Parole released - Number of parole absconders,19,0,19
UTTAR PRADESH,2010,Parole released - Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2011,Parole released - Number of persons released on parole,113,0,113
UTTAR PRADESH,2011,Parole released - Number of parole absconders,19,0,19
UTTAR PRADESH,2011,Parole released - Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2012,Parole released - Number of persons released on parole,107,0,107
UTTAR PRADESH,2012,Parole released - Number of parole absconders,21,0,21
UTTAR PRADESH,2012,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2001,Parole released - Number of persons released on parole,10,0,10
UTTARANCHAL,2001,Parole released - Number of parole absconders,2,0,2
UTTARANCHAL,2001,Parole released - Number of parole absconders rearrested,2,0,2
UTTARANCHAL,2002,Parole released - Number of persons released on parole,3,0,3
UTTARANCHAL,2002,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2002,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2003,Parole released - Number of persons released on parole,6,0,6
UTTARANCHAL,2003,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2003,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2004,Parole released - Number of persons released on parole,7,0,7
UTTARANCHAL,2004,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2004,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2005,Parole released - Number of persons released on parole,13,0,13
UTTARANCHAL,2005,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2005,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2006,Parole released - Number of persons released on parole,7,0,7
UTTARANCHAL,2006,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2006,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2007,Parole released - Number of persons released on parole,6,0,6
UTTARANCHAL,2007,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2007,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2008,Parole released - Number of persons released on parole,0,0,0
UTTARANCHAL,2008,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2008,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2009,Parole released - Number of persons released on parole,7,0,7
UTTARANCHAL,2009,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2009,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2010,Parole released - Number of persons released on parole,6,0,6
UTTARANCHAL,2010,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2010,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2011,Parole released - Number of persons released on parole,12,0,12
UTTARANCHAL,2011,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2011,Parole released - Number of parole absconders rearrested,0,0,0
UTTARANCHAL,2012,Parole released - Number of persons released on parole,14,0,14
UTTARANCHAL,2012,Parole released - Number of parole absconders,0,0,0
UTTARANCHAL,2012,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2001,Parole released - Number of persons released on parole,133,0,133
WEST BENGAL,2001,Parole released - Number of parole absconders,1,0,1
WEST BENGAL,2001,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2002,Parole released - Number of persons released on parole,117,0,117
WEST BENGAL,2002,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2002,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2003,Parole released - Number of persons released on parole,37,0,37
WEST BENGAL,2003,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2003,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2004,Parole released - Number of persons released on parole,81,5,86
WEST BENGAL,2004,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2004,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2005,Parole released - Number of persons released on parole,83,5,88
WEST BENGAL,2005,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2005,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2006,Parole released - Number of persons released on parole,6,0,6
WEST BENGAL,2006,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2006,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2007,Parole released - Number of persons released on parole,14,0,14
WEST BENGAL,2007,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2007,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2008,Parole released - Number of persons released on parole,10,0,10
WEST BENGAL,2008,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2008,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2009,Parole released - Number of persons released on parole,8,2,10
WEST BENGAL,2009,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2009,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2010,Parole released - Number of persons released on parole,19,0,19
WEST BENGAL,2010,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2010,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2011,Parole released - Number of persons released on parole,484,20,504
WEST BENGAL,2011,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2011,Parole released - Number of parole absconders rearrested,0,0,0
WEST BENGAL,2012,Parole released - Number of persons released on parole,1230,81,1311
WEST BENGAL,2012,Parole released - Number of parole absconders,0,0,0
WEST BENGAL,2012,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2001,Parole released - Number of persons released on parole,6,0,6
A & N ISLANDS,2001,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2001,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2002,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2002,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2002,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2003,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2003,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2003,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2004,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2004,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2004,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2005,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2005,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2005,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2006,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2006,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2006,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2007,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2007,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2007,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2008,Parole released - Number of persons released on parole,2,0,2
A & N ISLANDS,2008,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2008,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2009,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2009,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2009,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2010,Parole released - Number of persons released on parole,2,0,2
A & N ISLANDS,2010,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2010,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2011,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2011,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2011,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2012,Parole released - Number of persons released on parole,1,0,1
A & N ISLANDS,2012,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2012,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2001,Parole released - Number of persons released on parole,46,5,51
CHANDIGARH,2001,Parole released - Number of parole absconders,0,0,0
CHANDIGARH,2001,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2002,Parole released - Number of persons released on parole,64,4,68
CHANDIGARH,2002,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2002,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2003,Parole released - Number of persons released on parole,67,3,70
CHANDIGARH,2003,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2003,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2004,Parole released - Number of persons released on parole,47,4,51
CHANDIGARH,2004,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2004,Parole released - Number of parole absconders rearrested,1,0,1
CHANDIGARH,2005,Parole released - Number of persons released on parole,54,4,58
CHANDIGARH,2005,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2005,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2006,Parole released - Number of persons released on parole,62,3,65
CHANDIGARH,2006,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2006,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2007,Parole released - Number of persons released on parole,65,3,68
CHANDIGARH,2007,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2007,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2008,Parole released - Number of persons released on parole,124,5,129
CHANDIGARH,2008,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2008,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2009,Parole released - Number of persons released on parole,147,7,154
CHANDIGARH,2009,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2009,Parole released - Number of parole absconders rearrested,2,0,2
CHANDIGARH,2010,Parole released - Number of persons released on parole,96,4,100
CHANDIGARH,2010,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2010,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2011,Parole released - Number of persons released on parole,165,4,169
CHANDIGARH,2011,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2011,Parole released - Number of parole absconders rearrested,1,0,1
CHANDIGARH,2012,Parole released - Number of persons released on parole,207,8,215
CHANDIGARH,2012,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2012,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2001,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2001,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2001,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2002,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2002,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2002,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2003,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2003,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2003,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2004,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2004,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2004,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2005,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2005,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2005,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2006,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2006,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2006,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2007,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2007,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2007,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2008,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2008,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2008,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2009,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2009,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2009,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2010,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2010,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2010,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2011,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2011,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2011,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2012,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2012,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2012,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2001,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2001,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2001,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2002,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2002,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2002,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2003,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2003,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2003,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2004,Parole released - Number of persons released on parole,4,0,4
DAMAN & DIU,2004,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2004,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2005,Parole released - Number of persons released on parole,3,0,3
DAMAN & DIU,2005,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2005,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2006,Parole released - Number of persons released on parole,4,0,4
DAMAN & DIU,2006,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2006,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2007,Parole released - Number of persons released on parole,3,0,3
DAMAN & DIU,2007,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2007,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2008,Parole released - Number of persons released on parole,1,1,2
DAMAN & DIU,2008,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2008,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2009,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2009,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2009,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2010,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2010,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2010,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2011,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2011,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2011,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2012,Parole released - Number of persons released on parole,3,1,4
DAMAN & DIU,2012,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2012,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2001,Parole released - Number of persons released on parole,69,1,70
DELHI,2001,Parole released - Number of parole absconders,3,0,3
DELHI,2001,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2002,Parole released - Number of persons released on parole,236,4,240
DELHI,2002,Parole released - Number of parole absconders,31,0,31
DELHI,2002,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2003,Parole released - Number of persons released on parole,285,5,290
DELHI,2003,Parole released - Number of parole absconders,0,0,0
DELHI,2003,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2004,Parole released - Number of persons released on parole,221,7,228
DELHI,2004,Parole released - Number of parole absconders,0,0,0
DELHI,2004,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2005,Parole released - Number of persons released on parole,179,1,180
DELHI,2005,Parole released - Number of parole absconders,2,0,2
DELHI,2005,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2006,Parole released - Number of persons released on parole,123,10,133
DELHI,2006,Parole released - Number of parole absconders,1,3,4
DELHI,2006,Parole released - Number of parole absconders rearrested,1,0,1
DELHI,2007,Parole released - Number of persons released on parole,122,5,127
DELHI,2007,Parole released - Number of parole absconders,1,0,1
DELHI,2007,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2008,Parole released - Number of persons released on parole,149,6,155
DELHI,2008,Parole released - Number of parole absconders,0,0,0
DELHI,2008,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2009,Parole released - Number of persons released on parole,241,12,253
DELHI,2009,Parole released - Number of parole absconders,1,0,1
DELHI,2009,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2010,Parole released - Number of persons released on parole,132,15,147
DELHI,2010,Parole released - Number of parole absconders,0,1,1
DELHI,2010,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2011,Parole released - Number of persons released on parole,353,22,375
DELHI,2011,Parole released - Number of parole absconders,2,1,3
DELHI,2011,Parole released - Number of parole absconders rearrested,1,0,1
DELHI,2012,Parole released - Number of persons released on parole,266,22,288
DELHI,2012,Parole released - Number of parole absconders,2,0,2
DELHI,2012,Parole released - Number of parole absconders rearrested,1,0,1
LAKSHADWEEP,2001,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2001,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2001,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2002,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2002,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2002,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2003,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2003,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2003,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2004,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2004,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2004,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2005,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2005,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2005,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2006,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2006,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2006,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2007,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2007,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2007,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2008,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2008,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2008,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2009,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2009,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2009,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2010,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2010,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2010,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2011,Parole released - Number of persons released on parole,0,0,0
