STATE/UT,YEAR,PERIOD OF DETENTION,Male,Female,Total
WEST BENGAL,2013,Above 5 Years,261,10,271
WEST BENGAL,2013,Total,15493,978,16471
A & N ISLANDS,2013,Upto 3 months,57,0,57
A & N ISLANDS,2013,3-6 months,28,0,28
A & N ISLANDS,2013,6-12 months,13,0,13
A & N ISLANDS,2013,1-2 Years,41,4,45
A & N ISLANDS,2013,2-3 Years,29,2,31
A & N ISLANDS,2013,3-5 Years,17,1,18
A & N ISLANDS,2013,Above 5 Years,1,0,1
A & N ISLANDS,2013,Total,186,7,193
CHANDIGARH,2013,Upto 3 months,196,4,200
CHANDIGARH,2013,3-6 months,86,6,92
CHANDIGARH,2013,6-12 months,47,1,48
CHANDIGARH,2013,1-2 Years,36,1,37
CHANDIGARH,2013,2-3 Years,12,0,12
CHANDIGARH,2013,3-5 Years,1,0,1
CHANDIGARH,2013,Above 5 Years,1,0,1
CHANDIGARH,2013,Total,379,12,391
D & N HAVELI,2013,Upto 3 months,5,0,5
D & N HAVELI,2013,3-6 months,12,0,12
D & N HAVELI,2013,6-12 months,11,0,11
D & N HAVELI,2013,1-2 Years,3,0,3
D & N HAVELI,2013,2-3 Years,2,0,2
D & N HAVELI,2013,3-5 Years,2,0,2
D & N HAVELI,2013,Above 5 Years,0,0,0
D & N HAVELI,2013,Total,35,0,35
DAMAN & DIU,2013,Upto 3 months,13,0,13
DAMAN & DIU,2013,3-6 months,10,0,10
DAMAN & DIU,2013,6-12 months,6,0,6
DAMAN & DIU,2013,1-2 Years,9,0,9
DAMAN & DIU,2013,2-3 Years,0,0,0
