TimePeriod,Area_Name,Electronic_equipments_used,Data_Value
2004, Karnataka,CCTV,3
2004, Goa,CCTV,0
2004,Lakshadweep,CCTV,0
2004, Kerala,CCTV,11
2004, Tamil Nadu,CCTV,8
2004,Puducherry,CCTV,0
2004,Andaman & Nicobar Islands,CCTV,2
2005, Jammu & Kashmir,CCTV,0
2005, Himachal Pradesh,CCTV,3
2005, Punjab,CCTV,14
2005,Chandigarh,CCTV,0
2005, Uttarakhand,CCTV,19
2005, Haryana,CCTV,35
2005,Delhi,CCTV,20
2005, Rajasthan,CCTV,6
2005, Uttar Pradesh,CCTV,35
2005, Bihar,CCTV,0
2005, Sikkim,CCTV,0
2005, Nagaland,CCTV,0
2005, Manipur,CCTV,0
2005, Mizoram,CCTV,0
2005, Tripura,CCTV,19
2005, Meghalaya,CCTV,2
2005, Assam,CCTV,0
2005, West Bengal,CCTV,38
2005, Jharkhand,CCTV,4
2005, Odisha,CCTV,1
2005, Chhattisgarh,CCTV,13
2005, Madhya Pradesh,CCTV,9
2005, Gujarat,CCTV,20
2005,Daman & Diu,CCTV,0
2005,Dadra & Nagar Haveli,CCTV,0
2005, Maharashtra,CCTV,5
2005, Andhra Pradesh,CCTV,122
2005, Karnataka,CCTV,3
2005, Goa,CCTV,0
2005,Lakshadweep,CCTV,0
2005, Kerala,CCTV,11
2005, Tamil Nadu,CCTV,31
2005,Puducherry,CCTV,0
2005,Andaman & Nicobar Islands,CCTV,2
2006, Jammu & Kashmir,CCTV,0
2006, Himachal Pradesh,CCTV,3
2006, Punjab,CCTV,14
2006,Chandigarh,CCTV,32
2006, Uttarakhand,CCTV,15
2006, Haryana,CCTV,0
2006,Delhi,CCTV,16
2006, Rajasthan,CCTV,6
2006, Uttar Pradesh,CCTV,35
2006, Bihar,CCTV,5
2006, Sikkim,CCTV,0
2006, Nagaland,CCTV,0
2006, Manipur,CCTV,0
2006, Mizoram,CCTV,0
2006, Tripura,CCTV,21
2006, Meghalaya,CCTV,2
2006, Assam,CCTV,40
2006, West Bengal,CCTV,42
2006, Jharkhand,CCTV,11
2006, Odisha,CCTV,1
2006, Chhattisgarh,CCTV,13
2006, Madhya Pradesh,CCTV,12
2006, Gujarat,CCTV,20
2006,Daman & Diu,CCTV,0
2006,Dadra & Nagar Haveli,CCTV,0
2006, Maharashtra,CCTV,14
2006, Andhra Pradesh,CCTV,122
2006, Karnataka,CCTV,3
2006, Goa,CCTV,0
2006,Lakshadweep,CCTV,0
2006, Kerala,CCTV,4
2006, Tamil Nadu,CCTV,91
2006,Puducherry,CCTV,0
2006,Andaman & Nicobar Islands,CCTV,2
2007, Jammu & Kashmir,CCTV,6
2007, Himachal Pradesh,CCTV,0
2007, Punjab,CCTV,34
2007,Chandigarh,CCTV,32
