TimePeriod,Area_Name,Indicator_Name,Data_Value
2006, Himachal Pradesh,Number of times inmates taken for medical attendance,4382
2006, Punjab,Number of times inmates taken for medical attendance,897
2006,Chandigarh,Number of times inmates taken for medical attendance,1621
2006, Uttarakhand,Number of times inmates taken for medical attendance,36627
2006, Haryana,Number of times inmates taken for medical attendance,12338
2006,Delhi,Number of times inmates taken for medical attendance,254155
2006, Rajasthan,Number of times inmates taken for medical attendance,14214
2006, Uttar Pradesh,Number of times inmates taken for medical attendance,22300
2006, Bihar,Number of times inmates taken for medical attendance,13238
2006, Sikkim,Number of times inmates taken for medical attendance,601
2006, Nagaland,Number of times inmates taken for medical attendance,21
2006, Manipur,Number of times inmates taken for medical attendance,469
2006, Mizoram,Number of times inmates taken for medical attendance,522
2006, Tripura,Number of times inmates taken for medical attendance,1528
2006, Meghalaya,Number of times inmates taken for medical attendance,155
2006, Assam,Number of times inmates taken for medical attendance,5325
2006, West Bengal,Number of times inmates taken for medical attendance,38954
2006, Jharkhand,Number of times inmates taken for medical attendance,15439
2006, Odisha,Number of times inmates taken for medical attendance,2433
2006, Chhattisgarh,Number of times inmates taken for medical attendance,18121
2006, Madhya Pradesh,Number of times inmates taken for medical attendance,13921
2006, Gujarat,Number of times inmates taken for medical attendance,51507
2006,Daman & Diu,Number of times inmates taken for medical attendance,44
2006,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,160
2006, Maharashtra,Number of times inmates taken for medical attendance,33381
2006, Andhra Pradesh,Number of times inmates taken for medical attendance,44568
2006, Karnataka,Number of times inmates taken for medical attendance,1836
2006, Goa,Number of times inmates taken for medical attendance,2749
2006,Lakshadweep,Number of times inmates taken for medical attendance,0
2006, Kerala,Number of times inmates taken for medical attendance,18069
2006, Tamil Nadu,Number of times inmates taken for medical attendance,1915
2006,Puducherry,Number of times inmates taken for medical attendance,1776
2006,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,868
2007, Jammu & Kashmir,Number of times inmates taken for medical attendance,2020
2007, Himachal Pradesh,Number of times inmates taken for medical attendance,3794
2007, Punjab,Number of times inmates taken for medical attendance,913
2007,Chandigarh,Number of times inmates taken for medical attendance,1758
2007, Uttarakhand,Number of times inmates taken for medical attendance,4333
2007, Haryana,Number of times inmates taken for medical attendance,10891
2007,Delhi,Number of times inmates taken for medical attendance,277994
2007, Rajasthan,Number of times inmates taken for medical attendance,12784
2007, Uttar Pradesh,Number of times inmates taken for medical attendance,9965
2007, Bihar,Number of times inmates taken for medical attendance,14063
2007, Sikkim,Number of times inmates taken for medical attendance,977
2007, Nagaland,Number of times inmates taken for medical attendance,38
2007, Manipur,Number of times inmates taken for medical attendance,479
2007, Mizoram,Number of times inmates taken for medical attendance,441
2007, Tripura,Number of times inmates taken for medical attendance,1112
2007, Meghalaya,Number of times inmates taken for medical attendance,341
2007, Assam,Number of times inmates taken for medical attendance,3958
2007, West Bengal,Number of times inmates taken for medical attendance,36054
2007, Jharkhand,Number of times inmates taken for medical attendance,7014
2007, Odisha,Number of times inmates taken for medical attendance,2819
2007, Chhattisgarh,Number of times inmates taken for medical attendance,20855
2007, Madhya Pradesh,Number of times inmates taken for medical attendance,10574
2007, Gujarat,Number of times inmates taken for medical attendance,54721
2007,Daman & Diu,Number of times inmates taken for medical attendance,44
2007,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,251
2007, Maharashtra,Number of times inmates taken for medical attendance,29657
2007, Andhra Pradesh,Number of times inmates taken for medical attendance,61835
2007, Karnataka,Number of times inmates taken for medical attendance,678
2007, Goa,Number of times inmates taken for medical attendance,3283
2007,Lakshadweep,Number of times inmates taken for medical attendance,0
2007, Kerala,Number of times inmates taken for medical attendance,17659
2007, Tamil Nadu,Number of times inmates taken for medical attendance,5768
2007,Puducherry,Number of times inmates taken for medical attendance,2183
2007,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,118
2001, Jammu & Kashmir,Number of times inmates taken to courts,20224
2001, Himachal Pradesh,Number of times inmates taken to courts,22982
2001, Punjab,Number of times inmates taken to courts,55248
2001,Chandigarh,Number of times inmates taken to courts,10800
2001, Uttarakhand,Number of times inmates taken to courts,3263
2001, Haryana,Number of times inmates taken to courts,37352
2001,Delhi,Number of times inmates taken to courts,265776
2001, Rajasthan,Number of times inmates taken to courts,237834
2001, Uttar Pradesh,Number of times inmates taken to courts,466987
2001, Bihar,Number of times inmates taken to courts,402156
2001, Sikkim,Number of times inmates taken to courts,268
2001, Nagaland,Number of times inmates taken to courts,1330
2001, Manipur,Number of times inmates taken to courts,821
2001, Mizoram,Number of times inmates taken to courts,1354
2001, Tripura,Number of times inmates taken to courts,8232
2001, Meghalaya,Number of times inmates taken to courts,6085
2001, Assam,Number of times inmates taken to courts,44064
2001, West Bengal,Number of times inmates taken to courts,111216
2001, Jharkhand,Number of times inmates taken to courts,201521
2001, Odisha,Number of times inmates taken to courts,160123
2001, Chhattisgarh,Number of times inmates taken to courts,486880
2001, Madhya Pradesh,Number of times inmates taken to courts,173782
2001, Gujarat,Number of times inmates taken to courts,135296
2001,Daman & Diu,Number of times inmates taken to courts,311
2001,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2001, Maharashtra,Number of times inmates taken to courts,314265
2001, Andhra Pradesh,Number of times inmates taken to courts,198401
2001, Karnataka,Number of times inmates taken to courts,232069
2001, Goa,Number of times inmates taken to courts,7885
2001,Lakshadweep,Number of times inmates taken to courts,0
2001, Kerala,Number of times inmates taken to courts,18366
2001, Tamil Nadu,Number of times inmates taken to courts,131554
2001,Puducherry,Number of times inmates taken to courts,4388
2001,Andaman & Nicobar Islands,Number of times inmates taken to courts,2016
2002, Jammu & Kashmir,Number of times inmates taken to courts,26468
2002, Himachal Pradesh,Number of times inmates taken to courts,14327
2002, Punjab,Number of times inmates taken to courts,1035
2002,Chandigarh,Number of times inmates taken to courts,11525
2002, Uttarakhand,Number of times inmates taken to courts,3192
2002, Haryana,Number of times inmates taken to courts,125492
2002,Delhi,Number of times inmates taken to courts,273943
2002, Rajasthan,Number of times inmates taken to courts,164369
2002, Uttar Pradesh,Number of times inmates taken to courts,561903
2002, Bihar,Number of times inmates taken to courts,21320
2002, Sikkim,Number of times inmates taken to courts,269
2002, Nagaland,Number of times inmates taken to courts,244
2002, Manipur,Number of times inmates taken to courts,783
2002, Mizoram,Number of times inmates taken to courts,1150
2002, Tripura,Number of times inmates taken to courts,9325
2002, Meghalaya,Number of times inmates taken to courts,3554
2002, Assam,Number of times inmates taken to courts,54571
2002, West Bengal,Number of times inmates taken to courts,109367
2002, Jharkhand,Number of times inmates taken to courts,232624
2002, Odisha,Number of times inmates taken to courts,35785
2002, Chhattisgarh,Number of times inmates taken to courts,80912
2002, Madhya Pradesh,Number of times inmates taken to courts,211807
2002, Gujarat,Number of times inmates taken to courts,198500
2002,Daman & Diu,Number of times inmates taken to courts,295
2002,Dadra & Nagar Haveli,Number of times inmates taken to courts,0
2002, Maharashtra,Number of times inmates taken to courts,332694
2002, Andhra Pradesh,Number of times inmates taken to courts,182372
2002, Karnataka,Number of times inmates taken to courts,144261
2002, Goa,Number of times inmates taken to courts,5033
2002,Lakshadweep,Number of times inmates taken to courts,0
2002, Kerala,Number of times inmates taken to courts,19868
2002, Tamil Nadu,Number of times inmates taken to courts,263970
2002,Puducherry,Number of times inmates taken to courts,5604
2002,Andaman & Nicobar Islands,Number of times inmates taken to courts,1760
2003, Jammu & Kashmir,Number of times inmates taken to courts,23741
2003, Himachal Pradesh,Number of times inmates taken to courts,16467
2003, Punjab,Number of times inmates taken to courts,1020
2003,Chandigarh,Number of times inmates taken to courts,11784
2003, Uttarakhand,Number of times inmates taken to courts,19248
2003, Haryana,Number of times inmates taken to courts,65511
2003,Delhi,Number of times inmates taken to courts,281258
2003, Rajasthan,Number of times inmates taken to courts,165841
2003, Uttar Pradesh,Number of times inmates taken to courts,479589
2003, Bihar,Number of times inmates taken to courts,47142
2003, Sikkim,Number of times inmates taken to courts,389
