state_name,year,type,incidence,inmate_injured,jail_personnel_injured,inmate_killed,jail_personnel_killed
Gujarat,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2004,Firings In Jail,0,0,0,0,0
Gujarat,2005,Jail Breaks,1,0,0,0,0
Gujarat,2005,Clashes/Group Clashes Etc,1,0,0,1,0
Gujarat,2005,Firings In Jail,0,0,0,0,0
Gujarat,2006,Jail Breaks,0,0,0,0,0
Gujarat,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2006,Firings In Jail,0,0,0,0,0
Gujarat,2007,Jail Breaks,0,0,0,0,0
Gujarat,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2007,Firings In Jail,0,0,0,0,0
Gujarat,2008,Jail Breaks,0,0,0,0,0
Gujarat,2008,Clashes/Group Clashes Etc,1,36,0,0,0
Gujarat,2008,Firings In Jail,0,0,0,0,0
Gujarat,2009,Jail Breaks,0,0,0,0,0
Gujarat,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2009,Firings In Jail,0,0,0,0,0
Gujarat,2010,Jail Breaks,0,0,0,0,0
Gujarat,2010,Clashes/Group Clashes Etc,2,3,0,0,0
Gujarat,2010,Firings In Jail,0,0,0,0,0
Gujarat,2011,Jail Breaks,0,0,0,0,0
Gujarat,2011,Clashes/Group Clashes Etc,1,0,0,0,0
Gujarat,2011,Firings In Jail,0,0,0,0,0
Gujarat,2012,Jail Breaks,0,0,0,0,0
Gujarat,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2012,Firings In Jail,0,0,0,0,0
Haryana,2001,Jail Breaks,0,3,0,0,0
Haryana,2001,Clashes/Group Clashes Etc,22,8,0,0,0
Haryana,2001,Firings In Jail,0,0,0,0,0
Haryana,2002,Jail Breaks,0,0,0,0,0
Haryana,2002,Clashes/Group Clashes Etc,4,6,0,0,0
Haryana,2002,Firings In Jail,0,0,0,0,0
Haryana,2003,Jail Breaks,0,2,0,0,0
Haryana,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2003,Firings In Jail,2,2,0,0,0
Haryana,2004,Jail Breaks,0,0,0,0,0
Haryana,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2004,Firings In Jail,0,0,0,0,0
Haryana,2005,Jail Breaks,0,0,0,0,0
Haryana,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2005,Firings In Jail,0,0,0,0,0
Haryana,2006,Jail Breaks,0,0,0,0,0
Haryana,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2006,Firings In Jail,0,0,0,0,0
Haryana,2007,Jail Breaks,0,0,0,0,0
Haryana,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2007,Firings In Jail,0,0,0,0,0
