state_name,is_state,year,gender,domicile,convicts,under_trial,detenues,others
Bihar,1,2009,Female,Belongs to State,104,901,0,1
Bihar,1,2009,Male,Belongs to other Country,4,12,0,0
Bihar,1,2009,Male,Belongs to other State,134,277,0,0
Bihar,1,2009,Male,Belongs to State,5285,26957,10,6
Bihar,1,2010,Female,Belongs to other Country,4,10,0,0
Bihar,1,2010,Female,Belongs to other State,3,8,0,0
Bihar,1,2010,Female,Belongs to State,112,755,0,0
Bihar,1,2010,Male,Belongs to other Country,3,26,0,0
Bihar,1,2010,Male,Belongs to other State,116,223,0,0
Bihar,1,2010,Male,Belongs to State,5047,23340,34,19
Bihar,1,2011,Female,Belongs to other Country,3,6,0,0
Bihar,1,2011,Female,Belongs to other State,4,37,0,0
Bihar,1,2011,Female,Belongs to State,79,752,0,0
Bihar,1,2011,Male,Belongs to other Country,8,39,0,0
Bihar,1,2011,Male,Belongs to other State,82,755,0,2
Bihar,1,2011,Male,Belongs to State,4418,21828,8,11
Bihar,1,2012,Female,Belongs to other Country,3,8,0,0
Bihar,1,2012,Female,Belongs to other State,0,12,0,0
Bihar,1,2012,Female,Belongs to State,99,806,0,0
Bihar,1,2012,Male,Belongs to other Country,13,122,0,1
Bihar,1,2012,Male,Belongs to other State,65,526,0,0
Bihar,1,2012,Male,Belongs to State,3928,22915,40,12
Bihar,1,2013,Female,Belongs to State,119,956,0,4
Bihar,1,2013,Female,Belongs to other State,0,12,0,0
Bihar,1,2013,Female,Belongs to other Country,4,5,0,0
Bihar,1,2013,Male,Belongs to State,4248,24732,26,139
Bihar,1,2013,Male,Belongs to other State,101,854,0,0
Bihar,1,2013,Male,Belongs to other Country,8,50,0,1
Chandigarh,0,2001,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2001,Female,Belongs to other State,2,6,0,0
Chandigarh,0,2001,Female,Belongs to State,4,12,0,0
Chandigarh,0,2001,Male,Belongs to other Country,3,0,0,0
Chandigarh,0,2001,Male,Belongs to other State,67,141,0,0
Chandigarh,0,2001,Male,Belongs to State,26,165,0,0
Chandigarh,0,2002,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2002,Female,Belongs to other State,5,10,0,0
Chandigarh,0,2002,Female,Belongs to State,2,6,0,0
Chandigarh,0,2002,Male,Belongs to other Country,2,0,0,0
Chandigarh,0,2002,Male,Belongs to other State,72,224,0,0
Chandigarh,0,2002,Male,Belongs to State,30,105,0,0
Chandigarh,0,2003,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2003,Female,Belongs to other State,5,10,0,0
Chandigarh,0,2003,Female,Belongs to State,4,8,0,0
Chandigarh,0,2003,Male,Belongs to other Country,2,1,0,0
Chandigarh,0,2003,Male,Belongs to other State,70,190,0,0
Chandigarh,0,2003,Male,Belongs to State,63,172,0,0
Chandigarh,0,2004,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2004,Female,Belongs to other State,4,16,0,0
Chandigarh,0,2004,Female,Belongs to State,3,8,0,0
Chandigarh,0,2004,Male,Belongs to other Country,2,1,0,0
Chandigarh,0,2004,Male,Belongs to other State,64,224,0,0
Chandigarh,0,2004,Male,Belongs to State,47,180,0,0
Chandigarh,0,2005,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2005,Female,Belongs to other State,4,14,0,0
Chandigarh,0,2005,Female,Belongs to State,2,6,0,0
Chandigarh,0,2005,Male,Belongs to other Country,2,4,0,0
Chandigarh,0,2005,Male,Belongs to other State,44,202,0,0
Chandigarh,0,2005,Male,Belongs to State,32,145,0,0
Chandigarh,0,2006,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2006,Female,Belongs to other State,5,15,0,0
Chandigarh,0,2006,Female,Belongs to State,2,4,0,0
Chandigarh,0,2006,Male,Belongs to other Country,2,5,0,0
Chandigarh,0,2006,Male,Belongs to other State,72,165,0,0
Chandigarh,0,2006,Male,Belongs to State,26,142,0,0
Chandigarh,0,2007,Female,Belongs to other Country,0,0,0,0
Chandigarh,0,2007,Female,Belongs to other State,3,9,0,0
Chandigarh,0,2007,Female,Belongs to State,2,4,0,0
