STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2012,C.H. Not Amounting To Murder,0,0,0,59,4,63,81,9,90,11,1,12,151,14,165
Andhra Pradesh,2012,Rape,0,0,0,173,0,173,122,2,124,11,0,11,306,2,308
Andhra Pradesh,2012,Kidnapping And Abduction,0,0,0,151,4,155,101,5,106,14,1,15,266,10,276
Andhra Pradesh,2012,Dacoity,0,0,0,102,1,103,99,4,103,11,0,11,212,5,217
Andhra Pradesh,2012,Prep. And Assembly For Dacoity,0,0,0,2,2,4,11,1,12,0,0,0,13,3,16
Andhra Pradesh,2012,Robbery,0,0,0,107,1,108,144,1,145,6,0,6,257,2,259
Andhra Pradesh,2012,Burglary,0,0,0,110,1,111,99,0,99,11,0,11,220,1,221
Andhra Pradesh,2012,Thefts,0,0,0,791,28,819,945,51,996,117,7,124,1853,86,1939
Andhra Pradesh,2012,Extortion,0,0,0,12,0,12,31,0,31,0,0,0,43,0,43
Andhra Pradesh,2012,Riots,0,0,0,14,0,14,15,0,15,0,0,0,29,0,29
Andhra Pradesh,2012,Arson,0,0,0,6,0,6,7,0,7,0,0,0,13,0,13
Andhra Pradesh,2012,Criminal Breach Of Trust,0,0,0,3,0,3,6,0,6,4,0,4,13,0,13
Andhra Pradesh,2012,Cheating,0,0,0,76,16,92,158,16,174,36,3,39,270,35,305
Andhra Pradesh,2012,Counter Feiting,0,0,0,17,1,18,31,0,31,3,0,3,51,1,52
Andhra Pradesh,2012,Dowry Deaths,0,0,0,74,6,80,90,18,108,20,20,40,184,44,228
Andhra Pradesh,2012,Molestation,0,0,0,69,5,74,46,4,50,12,1,13,127,10,137
Andhra Pradesh,2012,Eve-Teasing,0,0,0,24,0,24,21,1,22,0,0,0,45,1,46
Andhra Pradesh,2012,Cruelty By Husband Or Relative Of Husband,0,0,0,138,4,142,201,15,216,28,7,35,367,26,393
Andhra Pradesh,2012,Other Ipc Crimes,0,0,0,227,4,231,266,21,287,73,6,79,566,31,597
Arunachal Pradesh,2009,Murder,0,0,0,6,0,6,1,2,3,0,0,0,7,2,9
Arunachal Pradesh,2009,Attempt To Commit Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,C.H. Not Amounting To Murder,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
Arunachal Pradesh,2009,Rape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Kidnapping And Abduction,0,0,0,4,0,4,1,0,1,1,0,1,6,0,6
Arunachal Pradesh,2009,Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Prep. And Assembly For Dacoity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Robbery,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Arunachal Pradesh,2009,Burglary,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
Arunachal Pradesh,2009,Thefts,0,0,0,7,0,7,2,0,2,0,0,0,9,0,9
